rank,topic,slug,buyer_intent_score,affiliate_fit_score,product_review_score,comparison_score,pricing_score,conversion_score,revenue_estimate,money_score,decision,reason
46,Tidal AI Policy,tidal-ai-policy,61.0,41.0,45,35,35,50.4,365.78,49.1,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
47,Working With AI: A concrete example,working-with-ai-a-concrete-example,61.0,41.0,45,35,35,50.4,342.92,48.8,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
48,Why Won't Europe Build AI Data Centers in Iceland?,why-won-t-europe-build-ai-data-centers-in-iceland,61.0,41.0,45,35,35,50.4,314.34,48.4,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
49,AI Companies Will Become Profitable Eventually. Here's why.,ai-companies-will-become-profitable-eventually-here-s-why,61.0,41.0,45,35,35,50.4,251.48,47.6,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
50,Ford rehires veteran engineers after AI fails to meet quality standards,ford-rehires-veteran-engineers-after-ai-fails-to-meet-quality-standards,61.0,41.0,45,35,35,50.4,251.48,47.6,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
51,"Has AI changed the way you think, not just the way you work?",has-ai-changed-the-way-you-think-not-just-the-way-you-work,61.0,41.0,45,35,35,50.4,251.48,47.6,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
52,"My AI Predictions, Two Years Later: The Ones That Landed",my-ai-predictions-two-years-later-the-ones-that-landed,61.0,41.0,45,35,35,50.4,251.48,47.6,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
53,Palantir and Nvidia Expand Sovereign AI Partnership for US Government,palantir-and-nvidia-expand-sovereign-ai-partnership-for-us-government,61.0,41.0,45,35,35,50.4,251.48,47.6,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
54,What AI capability do you think is still surprisingly underdeveloped?,what-ai-capability-do-you-think-is-still-surprisingly-underdeveloped,61.0,41.0,45,35,35,50.4,251.48,47.6,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
55,What if AI's failures reveal our vices more than its limits?,what-if-ai-s-failures-reveal-our-vices-more-than-its-limits,61.0,41.0,45,35,35,50.4,251.48,47.6,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
56,Working on my first fully featured Ai companion with Vision for games and movies n all that!,working-on-my-first-fully-featured-ai-companion-with-vision-for-games-and-movies-n-all-that,61.0,41.0,45,35,35,50.4,251.48,47.6,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
57,AI Slide Editor by CubeOne,ai-slide-editor-by-cubeone,61.0,41.0,45,35,35,50.4,251.48,47.6,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
58,Tough Tongue AI for Sales,tough-tongue-ai-for-sales,61.0,41.0,45,35,35,50.4,251.48,47.6,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
59,A language model that runs on 5$ chip,a-language-model-that-runs-on-5-chip,61.0,41.0,45,35,35,50.4,251.48,47.6,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
60,I built a benchmark for multi-turn prompt injection attacks. Most defenses never see them coming.,i-built-a-benchmark-for-multi-turn-prompt-injection-attacks-most-defenses-never-see-them-coming,61.0,41.0,45,35,35,50.4,251.48,47.6,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
61,AI Is Automating Marketing Execution But Raising The Value Of Judgment,ai-is-automating-marketing-execution-but-raising-the-value-of-judgment,61.0,41.0,45,35,35,50.4,251.48,47.5,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
62,"Hey Siri, meet AI",hey-siri-meet-ai,61.0,41.0,45,35,35,50.4,251.48,47.5,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
63,Import AI 445: Timing superintelligence; AIs solve frontier math proofs; a new ML research benchmark,import-ai-445-timing-superintelligence-ais-solve-frontier-math-proofs-a-new-ml-research-benchmark,61.0,41.0,45,35,35,50.4,251.48,47.5,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
64,Import AI 446: Nuclear LLMs; China's big AI benchmark; measurement and AI policy,import-ai-446-nuclear-llms-china-s-big-ai-benchmark-measurement-and-ai-policy,61.0,41.0,45,35,35,50.4,251.48,47.5,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
65,Import AI 450: China's electronic warfare model; traumatized LLMs; and a scaling law for cyberattacks,import-ai-450-china-s-electronic-warfare-model-traumatized-llms-and-a-scaling-law-for-cyberattacks,61.0,41.0,45,35,35,50.4,251.48,47.5,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
66,"Import AI 451: Political superintelligence; Google's society of minds, and a robot drummer",import-ai-451-political-superintelligence-google-s-society-of-minds-and-a-robot-drummer,61.0,41.0,45,35,35,50.4,251.48,47.5,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
67,Import AI 454: Automating alignment research; safety study of a Chinese model; HiFloat4,import-ai-454-automating-alignment-research-safety-study-of-a-chinese-model-hifloat4,61.0,41.0,45,35,35,50.4,251.48,47.5,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
68,Import AI 456: RSI and economic growth; radical optionality for AI regulation; and a neural computer,import-ai-456-rsi-and-economic-growth-radical-optionality-for-ai-regulation-and-a-neural-computer,61.0,41.0,45,35,35,50.4,251.48,47.5,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
69,Import AI 457: AI stuxnet; cursed Muon optimizer; and positive alignment,import-ai-457-ai-stuxnet-cursed-muon-optimizer-and-positive-alignment,61.0,41.0,45,35,35,50.4,251.48,47.5,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
70,Import AI 458: Reckoning with the future; and a singularity story,import-ai-458-reckoning-with-the-future-and-a-singularity-story,61.0,41.0,45,35,35,50.4,251.48,47.5,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
71,"Import AI 460: Reward hacking society, RSI data from Anthropic; and RL-based quadcopter racing",import-ai-460-reward-hacking-society-rsi-data-from-anthropic-and-rl-based-quadcopter-racing,61.0,41.0,45,35,35,50.4,251.48,47.5,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
72,"Import AI 461: ""Alignment is not on track""; FrontierCode; and synthetic research interns",import-ai-461-alignment-is-not-on-track-frontiercode-and-synthetic-research-interns,61.0,41.0,45,35,35,50.4,251.48,47.5,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
73,Import AI 462: Superpersuasion; self-sustaining AI; paths to ASI,import-ai-462-superpersuasion-self-sustaining-ai-paths-to-asi,61.0,41.0,45,35,35,50.4,251.48,47.5,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
74,Import AI 463: Self-improving robots; a 10k Chinese GPU cluster; and an elegiac essay for the human era,import-ai-463-self-improving-robots-a-10k-chinese-gpu-cluster-and-an-elegiac-essay-for-the-human-era,61.0,41.0,45,35,35,50.4,251.48,47.5,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
75,ImportAI 449: LLMs training other LLMs; 72B distributed training run; computer vision is harder than generative text,importai-449-llms-training-other-llms-72b-distributed-training-run-computer-vision-is-harder-than-generative-text,61.0,41.0,45,35,35,50.4,251.48,47.5,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
76,BetterCloud Unveils AI-Native Next Generation SaaS Management Platform to Help Enterprises Govern AI at Scale,bettercloud-unveils-ai-native-next-generation-saas-management-platform-to-help-enterprises-govern-ai-at-scale,53.0,34.0,45,35,35,49.5,269.44,46.4,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
77,Folio AI,folio-ai,61.0,41.0,45,35,35,49.6,247.48,46.2,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
78,Oxlo.ai,oxlo-ai,61.0,41.0,45,35,35,49.6,247.48,46.2,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
79,discode.ai,discode-ai,61.0,41.0,45,35,35,49.6,247.48,46.2,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
80,Shopify launches AI-powered marketing automation tool,shopify-launches-ai-powered-marketing-automation-tool,46.0,34.0,45,35,35,46.3,252.02,27.9,DELETE,news intent; duplicate=REFRESH_EXISTING
81,SaaS stocks are rallying on AI optimism. 3 stocks to buy now.,saas-stocks-are-rallying-on-ai-optimism-3-stocks-to-buy-now,54.0,41.0,45,35,35,50.8,276.51,27.2,DELETE,evergreen intent; duplicate=REFRESH_EXISTING
82,ImageKit Launches Creative Automation with AI Assist to Help Teams Generate On-Brand Visuals at Scale,imagekit-launches-creative-automation-with-ai-assist-to-help-teams-generate-on-brand-visuals-at-scale,40.0,26.0,45,35,35,41.6,226.44,25.1,DELETE,news intent; duplicate=REFRESH_EXISTING
83,Reco Launches Industry-First AI Agent Security to Tackle Agent Sprawl Across SaaS,reco-launches-industry-first-ai-agent-security-to-tackle-agent-sprawl-across-saas,48.0,34.0,45,35,35,48.4,307.36,24.6,DELETE,news intent; duplicate=REFRESH_EXISTING
84,Asian AI startups launch Mythos-like models as Anthropic's export ban drags on,asian-ai-startups-launch-mythos-like-models-as-anthropic-s-export-ban-drags-on,36.0,16.0,45,35,35,32.9,164.16,15.7,DELETE,news intent; duplicate=REFRESH_EXISTING
