go_slug,current_destination,affiliate_status,notes
best-ai-coding-tools-2026-twitter-social-seed-51-xxtwitter,,normal_outbound,Replace with approved affiliate destination only after program approval.
best-ai-seo-tools-2026-facebook-social-seed-13-facebook,,normal_outbound,Replace with approved affiliate destination only after program approval.
best-ai-seo-tools-2026-linkedin-social-seed-03-linkedin,,normal_outbound,Replace with approved affiliate destination only after program approval.
best-ai-seo-tools-2026-telegram-social-seed-22-telegram,,normal_outbound,Replace with approved affiliate destination only after program approval.
best-ai-seo-tools-2026-twitter-social-seed-28-xxtwitter,,normal_outbound,Replace with approved affiliate destination only after program approval.
best-ai-video-tools-2026-facebook-social-seed-16-facebook,,normal_outbound,Replace with approved affiliate destination only after program approval.
best-ai-video-tools-2026-linkedin-social-seed-06-linkedin,,normal_outbound,Replace with approved affiliate destination only after program approval.
best-ai-writing-tools-2026-facebook-social-seed-14-facebook,,normal_outbound,Replace with approved affiliate destination only after program approval.
best-ai-writing-tools-2026-linkedin-social-seed-04-linkedin,,normal_outbound,Replace with approved affiliate destination only after program approval.
best-ai-writing-tools-2026-twitter-social-seed-30-xxtwitter,,normal_outbound,Replace with approved affiliate destination only after program approval.
bolt,https://bolt.new,normal_outbound,Replace with approved affiliate destination only after program approval.
canva,https://www.canva.com,normal_outbound,Replace with approved affiliate destination only after program approval.
canva-vs-adobe-express-facebook-social-seed-17-facebook,,normal_outbound,Replace with approved affiliate destination only after program approval.
canva-vs-adobe-express-linkedin-social-seed-07-linkedin,,normal_outbound,Replace with approved affiliate destination only after program approval.
chatgpt,https://chatgpt.com,normal_outbound,Replace with approved affiliate destination only after program approval.
claude,https://claude.ai,normal_outbound,Replace with approved affiliate destination only after program approval.
codeium,https://codeium.com,normal_outbound,Replace with approved affiliate destination only after program approval.
codex,https://openai.com/codex/,normal_outbound,Replace with approved affiliate destination only after program approval.
copy-ai,https://www.copy.ai,normal_outbound,Replace with approved affiliate destination only after program approval.
cursor,https://cursor.com,normal_outbound,Replace with approved affiliate destination only after program approval.
cursor-facebook-social-seed-18-facebook,,normal_outbound,Replace with approved affiliate destination only after program approval.
cursor-facebook-social-seed-37-facebook,,normal_outbound,Replace with approved affiliate destination only after program approval.
cursor-facebook-social-seed-45-facebook,,normal_outbound,Replace with approved affiliate destination only after program approval.
cursor-linkedin-social-seed-08-linkedin,,normal_outbound,Replace with approved affiliate destination only after program approval.
cursor-linkedin-social-seed-36-linkedin,,normal_outbound,Replace with approved affiliate destination only after program approval.
cursor-linkedin-social-seed-44-linkedin,,normal_outbound,Replace with approved affiliate destination only after program approval.
cursor-telegram-social-seed-25-telegram,,normal_outbound,Replace with approved affiliate destination only after program approval.
cursor-telegram-social-seed-38-telegram,,normal_outbound,Replace with approved affiliate destination only after program approval.
cursor-telegram-social-seed-46-telegram,,normal_outbound,Replace with approved affiliate destination only after program approval.
cursor-twitter-social-seed-35-xxtwitter,,normal_outbound,Replace with approved affiliate destination only after program approval.
cursor-twitter-social-seed-43-xxtwitter,,normal_outbound,Replace with approved affiliate destination only after program approval.
cursor-vs-copilot-facebook-social-seed-11-facebook,,normal_outbound,Replace with approved affiliate destination only after program approval.
cursor-vs-copilot-facebook-social-seed-57-facebook,,normal_outbound,Replace with approved affiliate destination only after program approval.
cursor-vs-copilot-linkedin-social-seed-01-linkedin,,normal_outbound,Replace with approved affiliate destination only after program approval.
cursor-vs-copilot-linkedin-social-seed-56-linkedin,,normal_outbound,Replace with approved affiliate destination only after program approval.
cursor-vs-copilot-telegram-social-seed-21-telegram,,normal_outbound,Replace with approved affiliate destination only after program approval.
cursor-vs-copilot-telegram-social-seed-58-telegram,,normal_outbound,Replace with approved affiliate destination only after program approval.
cursor-vs-copilot-twitter-social-seed-26-xxtwitter,,normal_outbound,Replace with approved affiliate destination only after program approval.
cursor-vs-copilot-twitter-social-seed-55-xxtwitter,,normal_outbound,Replace with approved affiliate destination only after program approval.
descript,https://www.descript.com,normal_outbound,Replace with approved affiliate destination only after program approval.
durable,https://durable.co,normal_outbound,Replace with approved affiliate destination only after program approval.
elevenlabs,https://elevenlabs.io,normal_outbound,Replace with approved affiliate destination only after program approval.
elevenlabs-facebook-social-seed-20-facebook,,normal_outbound,Replace with approved affiliate destination only after program approval.
framer,https://www.framer.com,normal_outbound,Replace with approved affiliate destination only after program approval.
frase,https://www.frase.io,normal_outbound,Replace with approved affiliate destination only after program approval.
gamma,https://gamma.app,normal_outbound,Replace with approved affiliate destination only after program approval.
gemini,https://gemini.google.com,normal_outbound,Replace with approved affiliate destination only after program approval.
github-copilot,https://github.com/features/copilot,normal_outbound,Replace with approved affiliate destination only after program approval.
grammarly,https://www.grammarly.com,normal_outbound,Replace with approved affiliate destination only after program approval.
hubspot,https://www.hubspot.com,normal_outbound,Replace with approved affiliate destination only after program approval.
jasper,https://www.jasper.ai,normal_outbound,Replace with approved affiliate destination only after program approval.
jasper-ai,https://www.jasper.ai,normal_outbound,Replace with approved affiliate destination only after program approval.
kilocode,https://kilo.ai/,normal_outbound,Replace with approved affiliate destination only after program approval.
lovable,https://lovable.dev,normal_outbound,Replace with approved affiliate destination only after program approval.
mailchimp,https://mailchimp.com,normal_outbound,Replace with approved affiliate destination only after program approval.
make,https://www.make.com,normal_outbound,Replace with approved affiliate destination only after program approval.
make-linkedin-social-seed-10-linkedin,,normal_outbound,Replace with approved affiliate destination only after program approval.
midjourney,https://www.midjourney.com,normal_outbound,Replace with approved affiliate destination only after program approval.
notion,https://www.notion.com,normal_outbound,Replace with approved affiliate destination only after program approval.
notion-ai,https://www.notion.com/product/ai,normal_outbound,Replace with approved affiliate destination only after program approval.
perplexity,https://www.perplexity.ai,normal_outbound,Replace with approved affiliate destination only after program approval.
pictory,https://pictory.ai,normal_outbound,Replace with approved affiliate destination only after program approval.
pipedrive,https://www.pipedrive.com,normal_outbound,Replace with approved affiliate destination only after program approval.
pipedrive-crm,https://www.pipedrive.com,normal_outbound,Replace with approved affiliate destination only after program approval.
quillbot,https://quillbot.com,normal_outbound,Replace with approved affiliate destination only after program approval.
reclaim-ai,https://reclaim.ai,normal_outbound,Replace with approved affiliate destination only after program approval.
replit,https://replit.com,normal_outbound,Replace with approved affiliate destination only after program approval.
runway,https://runwayml.com,normal_outbound,Replace with approved affiliate destination only after program approval.
semrush,https://www.semrush.com,normal_outbound,Replace with approved affiliate destination only after program approval.
semrush-ai,https://www.semrush.com,normal_outbound,Replace with approved affiliate destination only after program approval.
semrush-linkedin-social-seed-09-linkedin,,normal_outbound,Replace with approved affiliate destination only after program approval.
surfer-seo,https://surferseo.com,normal_outbound,Replace with approved affiliate destination only after program approval.
synthesia,https://www.synthesia.io,normal_outbound,Replace with approved affiliate destination only after program approval.
webflow,https://webflow.com,normal_outbound,Replace with approved affiliate destination only after program approval.
webflow-ai,https://webflow.com/ai,normal_outbound,Replace with approved affiliate destination only after program approval.
windsurf,https://windsurf.com,normal_outbound,Replace with approved affiliate destination only after program approval.
windsurf-review-facebook-social-seed-41-facebook,,normal_outbound,Replace with approved affiliate destination only after program approval.
windsurf-review-linkedin-social-seed-40-linkedin,,normal_outbound,Replace with approved affiliate destination only after program approval.
windsurf-review-telegram-social-seed-42-telegram,,normal_outbound,Replace with approved affiliate destination only after program approval.
windsurf-review-twitter-social-seed-39-xxtwitter,,normal_outbound,Replace with approved affiliate destination only after program approval.
windsurf-vs-copilot-facebook-social-seed-12-facebook,,normal_outbound,Replace with approved affiliate destination only after program approval.
windsurf-vs-copilot-linkedin-social-seed-02-linkedin,,normal_outbound,Replace with approved affiliate destination only after program approval.
windsurf-vs-copilot-telegram-social-seed-24-telegram,,normal_outbound,Replace with approved affiliate destination only after program approval.
windsurf-vs-copilot-twitter-social-seed-27-xxtwitter,,normal_outbound,Replace with approved affiliate destination only after program approval.
zapier,https://zapier.com,normal_outbound,Replace with approved affiliate destination only after program approval.
zapier-facebook-social-seed-19-facebook,,normal_outbound,Replace with approved affiliate destination only after program approval.
