priority_rank,action_type,topic,keyword,page_url,platform,reason,expected_impact,difficulty,next_action
37,create_comparison_page,general,marketing software comparison,,,keyword priority 65; content gap: missing_page; high-intent comparison keyword,medium,high,build_comparison_page
38,create_comparison_page,general,productivity software comparison,,,keyword priority 65; content gap: missing_page; high-intent comparison keyword,medium,high,build_comparison_page
39,write_new_article,general,coupon code,,,keyword priority 62; content gap: missing_page; high-intent review keyword,medium,high,build_review_page
40,write_new_article,general,affordable ai app builder platform,,,keyword priority 59; content gap: missing_page; high-intent review keyword,medium,high,monitor
41,write_new_article,general,affordable ai assistant platform,,,keyword priority 59; content gap: missing_page; high-intent review keyword,medium,high,monitor
42,write_new_article,AI coding tools,affordable ai coding platform,,,keyword priority 59; content gap: missing_page; high-intent review keyword,medium,high,monitor
43,write_new_article,general,affordable ai design platform,,,keyword priority 59; content gap: missing_page; high-intent review keyword,medium,high,monitor
44,write_new_article,general,affordable ai image platform,,,keyword priority 59; content gap: missing_page; high-intent review keyword,medium,high,monitor
45,write_new_article,general,affordable ai meeting platform,,,keyword priority 59; content gap: missing_page; high-intent review keyword,medium,high,monitor
46,write_new_article,general,affordable ai productivity platform,,,keyword priority 59; content gap: missing_page; high-intent review keyword,medium,high,monitor
47,write_new_article,general,affordable ai search platform,,,keyword priority 59; content gap: missing_page; high-intent review keyword,medium,high,monitor
48,write_new_article,AI SEO tools,affordable ai seo platform,,,keyword priority 59; content gap: missing_page; high-intent review keyword,medium,high,monitor
49,write_new_article,general,affordable ai video platform,,,keyword priority 59; content gap: missing_page; high-intent review keyword,medium,high,monitor
50,write_new_article,general,affordable ai voice platform,,,keyword priority 59; content gap: missing_page; high-intent review keyword,medium,high,monitor
51,write_new_article,AI writing tools,affordable ai writing platform,,,keyword priority 59; content gap: missing_page; high-intent review keyword,medium,high,monitor
52,write_new_article,AI automation tools,affordable automation platform,,,keyword priority 59; content gap: missing_page; high-intent review keyword,medium,high,monitor
53,write_new_article,general,affordable cloud development platform,,,keyword priority 59; content gap: missing_page; high-intent review keyword,medium,high,monitor
54,write_new_article,general,affordable crm platform,,,keyword priority 59; content gap: missing_page; high-intent review keyword,medium,high,monitor
55,write_new_article,general,affordable marketing platform,,,keyword priority 59; content gap: missing_page; high-intent review keyword,medium,high,monitor
56,write_new_article,general,affordable productivity platform,,,keyword priority 59; content gap: missing_page; high-intent review keyword,medium,high,monitor
57,write_new_article,general,affordable website builder platform,,,keyword priority 59; content gap: missing_page; high-intent review keyword,medium,high,monitor
58,write_new_article,AI coding tools,cursor for builders,,,keyword priority 59; content gap: missing_page; high-intent review keyword,medium,high,monitor
59,write_new_article,AI coding tools,cursor hay copilot,,,keyword priority 59; content gap: missing_page; high-intent review keyword,medium,high,monitor
60,write_new_article,general,best ai assistant software,,,keyword priority 61; content gap: missing_page,medium,high,build_best_tools_page
61,write_new_article,general,best ai assistant tools,,,keyword priority 61; content gap: missing_page,medium,high,build_best_tools_page
62,write_new_article,AI coding tools,best ai coding software,,,keyword priority 61; content gap: missing_page,medium,high,build_best_tools_page
63,write_new_article,general,best ai design software,,,keyword priority 61; content gap: missing_page,medium,high,build_best_tools_page
64,write_new_article,general,best ai image software,,,keyword priority 61; content gap: missing_page,medium,high,build_best_tools_page
65,write_new_article,general,best ai image tools,,,keyword priority 61; content gap: missing_page,medium,high,build_best_tools_page
66,write_new_article,general,best ai meeting software,,,keyword priority 61; content gap: missing_page,medium,high,build_best_tools_page
67,write_new_article,general,best ai meeting tools,,,keyword priority 61; content gap: missing_page,medium,high,build_best_tools_page
68,write_new_article,general,best ai productivity software,,,keyword priority 61; content gap: missing_page,medium,high,build_best_tools_page
69,write_new_article,general,best ai productivity tools,,,keyword priority 61; content gap: missing_page,medium,high,build_best_tools_page
70,write_new_article,general,best ai search software,,,keyword priority 61; content gap: missing_page,medium,high,build_best_tools_page
71,write_new_article,AI SEO tools,best ai seo software,,,keyword priority 61; content gap: missing_page,medium,high,build_best_tools_page
72,write_new_article,general,best ai video software,,,keyword priority 61; content gap: missing_page,medium,high,build_best_tools_page
73,write_new_article,general,best ai voice software,,,keyword priority 61; content gap: missing_page,medium,high,build_best_tools_page
74,write_new_article,general,best ai voice tools,,,keyword priority 61; content gap: missing_page,medium,high,build_best_tools_page
75,write_new_article,AI writing tools,best ai writing software,,,keyword priority 61; content gap: missing_page,medium,high,build_best_tools_page
76,write_new_article,AI automation tools,best automation software,,,keyword priority 61; content gap: missing_page,medium,high,build_best_tools_page
77,write_new_article,general,best crm software,,,keyword priority 61; content gap: missing_page,medium,high,build_best_tools_page
78,write_new_article,general,best marketing software,,,keyword priority 61; content gap: missing_page,medium,high,build_best_tools_page
79,write_new_article,general,best productivity software,,,keyword priority 61; content gap: missing_page,medium,high,build_best_tools_page
80,write_new_article,general,best productivity tools,,,keyword priority 61; content gap: missing_page,medium,high,build_best_tools_page
81,write_new_article,general,crack,,,keyword priority 57; content gap: missing_page; high-intent review keyword,low,high,monitor
82,write_new_article,general,general,,,keyword priority 57; content gap: missing_page; high-intent review keyword,low,high,monitor
83,write_new_article,general,nulled,,,keyword priority 57; content gap: missing_page; high-intent review keyword,low,high,monitor
84,write_new_article,general,salary,,,keyword priority 57; content gap: missing_page; high-intent review keyword,low,high,monitor
85,write_new_article,AI SEO tools,semrush angle,,,keyword priority 57; content gap: missing_page; high-intent review keyword,low,high,monitor
86,write_new_article,general,torrent,,,keyword priority 57; content gap: missing_page; high-intent review keyword,low,high,monitor
87,push_social,Copilot vs Codex,best ai coding tools 2026,https://smileaireviewhub.com/best-ai-coding-tools-2026/?utm_source=linkedin,LinkedIn,affiliate tracking recommendation: priority_social_push,high,low,schedule approved social post and monitor UTM performance
88,push_social,Copilot vs Codex,best ai coding tools 2026,https://smileaireviewhub.com/best-ai-coding-tools-2026/?utm_source=twitter,X/Twitter,affiliate tracking recommendation: priority_social_push,high,low,schedule approved social post and monitor UTM performance
89,push_social,Copilot vs Codex,best ai coding tools 2026,https://smileaireviewhub.com/best-ai-coding-tools-2026/?utm_source=telegram,Telegram,affiliate tracking recommendation: priority_social_push,high,low,schedule approved social post and monitor UTM performance
90,push_social,Copilot vs Codex,best ai coding tools 2026,https://smileaireviewhub.com/best-ai-coding-tools-2026/?utm_source=facebook,Facebook,affiliate tracking recommendation: priority_social_push,high,low,schedule approved social post and monitor UTM performance
91,push_social,Cursor vs Codex,cursor,https://smileaireviewhub.com/review/cursor/?utm_source=linkedin,LinkedIn,affiliate tracking recommendation: priority_social_push,high,low,schedule approved social post and monitor UTM performance
92,push_social,Cursor vs Codex,cursor,https://smileaireviewhub.com/review/cursor/?utm_source=twitter,X/Twitter,affiliate tracking recommendation: priority_social_push,high,low,schedule approved social post and monitor UTM performance
93,push_social,Cursor vs Codex,cursor,https://smileaireviewhub.com/review/cursor/?utm_source=telegram,Telegram,affiliate tracking recommendation: priority_social_push,high,low,schedule approved social post and monitor UTM performance
94,push_social,Cursor vs Codex,cursor,https://smileaireviewhub.com/review/cursor/?utm_source=facebook,Facebook,affiliate tracking recommendation: priority_social_push,high,low,schedule approved social post and monitor UTM performance
95,push_social,Which AI survives the second failed fix?,cursor vs copilot,https://smileaireviewhub.com/comparisons/cursor-vs-copilot/?utm_source=linkedin,LinkedIn,affiliate tracking recommendation: priority_social_push,high,low,schedule approved social post and monitor UTM performance
96,push_social,Which AI survives the second failed fix?,cursor vs copilot,https://smileaireviewhub.com/comparisons/cursor-vs-copilot/?utm_source=twitter,X/Twitter,affiliate tracking recommendation: priority_social_push,high,low,schedule approved social post and monitor UTM performance
97,push_social,Which AI survives the second failed fix?,cursor vs copilot,https://smileaireviewhub.com/comparisons/cursor-vs-copilot/?utm_source=telegram,Telegram,affiliate tracking recommendation: priority_social_push,high,low,schedule approved social post and monitor UTM performance
98,push_social,Which AI survives the second failed fix?,cursor vs copilot,https://smileaireviewhub.com/comparisons/cursor-vs-copilot/?utm_source=facebook,Facebook,affiliate tracking recommendation: priority_social_push,high,low,schedule approved social post and monitor UTM performance
99,push_social,Windsurf vs Copilot workflow note,windsurf vs copilot,https://smileaireviewhub.com/comparisons/windsurf-vs-copilot/?utm_source=linkedin,LinkedIn,affiliate tracking recommendation: priority_social_push,high,low,schedule approved social post and monitor UTM performance
100,push_social,Canva vs Adobe Express,canva vs adobe express,https://smileaireviewhub.com/comparisons/canva-vs-adobe-express/?utm_source=linkedin,LinkedIn,affiliate tracking recommendation: priority_social_push,high,low,schedule approved social post and monitor UTM performance
101,push_social,Semrush review angle,semrush,https://smileaireviewhub.com/review/semrush/?utm_source=linkedin,LinkedIn,affiliate tracking recommendation: priority_social_push,high,low,schedule approved social post and monitor UTM performance
102,push_social,Make review note,make,https://smileaireviewhub.com/review/make/?utm_source=linkedin,LinkedIn,affiliate tracking recommendation: priority_social_push,high,low,schedule approved social post and monitor UTM performance
103,push_social,Windsurf vs Copilot thực tế,windsurf vs copilot,https://smileaireviewhub.com/comparisons/windsurf-vs-copilot/?utm_source=facebook,Facebook,affiliate tracking recommendation: priority_social_push,high,low,schedule approved social post and monitor UTM performance
104,push_social,Canva vs Adobe Express,canva vs adobe express,https://smileaireviewhub.com/comparisons/canva-vs-adobe-express/?utm_source=facebook,Facebook,affiliate tracking recommendation: priority_social_push,high,low,schedule approved social post and monitor UTM performance
105,push_social,Zapier review,zapier,https://smileaireviewhub.com/review/zapier/?utm_source=facebook,Facebook,affiliate tracking recommendation: priority_social_push,high,low,schedule approved social post and monitor UTM performance
106,push_social,ElevenLabs review,elevenlabs,https://smileaireviewhub.com/review/elevenlabs/?utm_source=facebook,Facebook,affiliate tracking recommendation: priority_social_push,high,low,schedule approved social post and monitor UTM performance
107,push_social,Windsurf vs Copilot,windsurf vs copilot,https://smileaireviewhub.com/comparisons/windsurf-vs-copilot/?utm_source=telegram,Telegram,affiliate tracking recommendation: priority_social_push,high,low,schedule approved social post and monitor UTM performance
108,push_social,Windsurf vs Copilot,windsurf vs copilot,https://smileaireviewhub.com/comparisons/windsurf-vs-copilot/?utm_source=twitter,X/Twitter,affiliate tracking recommendation: priority_social_push,high,low,schedule approved social post and monitor UTM performance
109,push_social,Windsurf + Codex workflow,windsurf review,https://smileaireviewhub.com/windsurf-review/?utm_source=linkedin,LinkedIn,affiliate tracking recommendation: priority_social_push,high,low,schedule approved social post and monitor UTM performance
110,push_social,Windsurf + Codex workflow,windsurf review,https://smileaireviewhub.com/windsurf-review/?utm_source=twitter,X/Twitter,affiliate tracking recommendation: priority_social_push,high,low,schedule approved social post and monitor UTM performance
111,push_social,Windsurf + Codex workflow,windsurf review,https://smileaireviewhub.com/windsurf-review/?utm_source=telegram,Telegram,affiliate tracking recommendation: priority_social_push,high,low,schedule approved social post and monitor UTM performance
112,push_social,Windsurf + Codex workflow,windsurf review,https://smileaireviewhub.com/windsurf-review/?utm_source=facebook,Facebook,affiliate tracking recommendation: priority_social_push,high,low,schedule approved social post and monitor UTM performance
113,write_new_article,AI writing tools,ai writing tools need editors,,,keyword priority 56; content gap: missing_page; high-intent review keyword,low,high,monitor
114,write_new_article,AI coding tools,why i stopped using only one ai coding tool,,,keyword priority 56; content gap: missing_page; high-intent review keyword,low,high,monitor
115,improve_existing_article,AI automation tools,best ai automation tools,https://smileaireviewhub.com/best-ai-automation-tools/,,content quality issues: too_generic,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
116,improve_existing_article,AI automation tools,best ai automation tools 2026,https://smileaireviewhub.com/best-ai-automation-tools-2026/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
117,improve_existing_article,AI coding tools,best ai coding tools,https://smileaireviewhub.com/best-ai-coding-tools/,,content quality issues: too_generic,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
118,improve_existing_article,AI coding tools,best ai coding tools 2026,https://smileaireviewhub.com/best-ai-coding-tools-2026/,,content quality issues: too_generic,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
119,improve_existing_article,general,best ai presentation tools,https://smileaireviewhub.com/best-ai-presentation-tools/,,content quality issues: too_generic,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
120,improve_existing_article,AI SEO tools,best ai seo tools,https://smileaireviewhub.com/best-ai-seo-tools/,,content quality issues: too_generic,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
121,improve_existing_article,AI SEO tools,best ai seo tools 2026,https://smileaireviewhub.com/best-ai-seo-tools-2026/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
122,improve_existing_article,general,best ai tools,https://smileaireviewhub.com/best-ai-tools/,,content quality issues: too_generic,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
123,improve_existing_article,general,best ai video tools,https://smileaireviewhub.com/best-ai-video-tools/,,content quality issues: too_generic,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
124,improve_existing_article,general,best ai video tools 2026,https://smileaireviewhub.com/best-ai-video-tools-2026/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
125,improve_existing_article,AI writing tools,best ai writing tools,https://smileaireviewhub.com/best-ai-writing-tools/,,content quality issues: too_generic,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
126,improve_existing_article,AI writing tools,best ai writing tools 2026,https://smileaireviewhub.com/best-ai-writing-tools-2026/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
127,improve_existing_article,general,best crm tools,https://smileaireviewhub.com/best-crm-tools/,,content quality issues: too_generic,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
128,improve_existing_article,general,best website builders,https://smileaireviewhub.com/best-website-builders/,,content quality issues: too_generic,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
129,improve_existing_article,general,best ai tools for small business,https://smileaireviewhub.com/blog/best-ai-tools-for-small-business/,,content quality issues: too_generic,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
130,improve_existing_article,AI automation tools,ai automation tools,https://smileaireviewhub.com/category/ai-automation-tools/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
131,improve_existing_article,general,ai customer support tools,https://smileaireviewhub.com/category/ai-customer-support-tools/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
132,improve_existing_article,general,ai presentation tools,https://smileaireviewhub.com/category/ai-presentation-tools/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
133,improve_existing_article,AI SEO tools,ai seo tools,https://smileaireviewhub.com/category/ai-seo-tools/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
134,improve_existing_article,general,ai video tools,https://smileaireviewhub.com/category/ai-video-tools/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
135,improve_existing_article,general,ai voice tools,https://smileaireviewhub.com/category/ai-voice-tools/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
136,improve_existing_article,AI writing tools,ai writing,https://smileaireviewhub.com/category/ai-writing/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
137,improve_existing_article,AI writing tools,ai writing tools,https://smileaireviewhub.com/category/ai-writing-tools/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
138,improve_existing_article,AI automation tools,automation,https://smileaireviewhub.com/category/automation/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
139,improve_existing_article,general,crm,https://smileaireviewhub.com/category/crm/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
140,improve_existing_article,general,crm tools,https://smileaireviewhub.com/category/crm-tools/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
141,improve_existing_article,general,website builders,https://smileaireviewhub.com/category/website-builders/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
142,improve_existing_article,comparisons,canva vs adobe express,https://smileaireviewhub.com/comparisons/canva-vs-adobe-express/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
143,improve_existing_article,comparisons,canva vs gamma,https://smileaireviewhub.com/comparisons/canva-vs-gamma/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
144,improve_existing_article,comparisons,chatgpt vs claude,https://smileaireviewhub.com/comparisons/chatgpt-vs-claude/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
145,improve_existing_article,comparisons,chatgpt vs gemini,https://smileaireviewhub.com/comparisons/chatgpt-vs-gemini/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
146,improve_existing_article,comparisons,chatgpt vs perplexity,https://smileaireviewhub.com/comparisons/chatgpt-vs-perplexity/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
147,improve_existing_article,comparisons,claude vs gemini,https://smileaireviewhub.com/comparisons/claude-vs-gemini/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
148,improve_existing_article,comparisons,claude vs perplexity,https://smileaireviewhub.com/comparisons/claude-vs-perplexity/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
149,improve_existing_article,AI coding tools|comparisons,copilot vs tabnine,https://smileaireviewhub.com/comparisons/copilot-vs-tabnine/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
150,improve_existing_article,AI coding tools|comparisons,cursor vs copilot,https://smileaireviewhub.com/comparisons/cursor-vs-copilot/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
151,improve_existing_article,AI coding tools|comparisons,cursor vs vscode,https://smileaireviewhub.com/comparisons/cursor-vs-vscode/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
152,improve_existing_article,AI coding tools|comparisons,cursor vs windsurf,https://smileaireviewhub.com/comparisons/cursor-vs-windsurf/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
153,improve_existing_article,comparisons,elevenlabs vs murf,https://smileaireviewhub.com/comparisons/elevenlabs-vs-murf/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
154,improve_existing_article,comparisons,elevenlabs vs playht,https://smileaireviewhub.com/comparisons/elevenlabs-vs-playht/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
155,improve_existing_article,comparisons,framer vs webflow,https://smileaireviewhub.com/comparisons/framer-vs-webflow/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
156,improve_existing_article,comparisons,gemini vs claude,https://smileaireviewhub.com/comparisons/gemini-vs-claude/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
157,improve_existing_article,comparisons,hubspot vs salesforce,https://smileaireviewhub.com/comparisons/hubspot-vs-salesforce/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
158,improve_existing_article,general,comparisons,https://smileaireviewhub.com/comparisons/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
159,improve_existing_article,AI writing tools|comparisons,jasper vs copy ai,https://smileaireviewhub.com/comparisons/jasper-vs-copy-ai/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
160,improve_existing_article,AI writing tools|comparisons,jasper vs copyai,https://smileaireviewhub.com/comparisons/jasper-vs-copyai/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
161,improve_existing_article,comparisons,lovable vs bolt,https://smileaireviewhub.com/comparisons/lovable-vs-bolt/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
162,improve_existing_article,AI automation tools|comparisons,make vs zapier,https://smileaireviewhub.com/comparisons/make-vs-zapier/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
163,improve_existing_article,comparisons,midjourney vs dalle,https://smileaireviewhub.com/comparisons/midjourney-vs-dalle/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
164,improve_existing_article,AI writing tools|comparisons,notion ai vs chatgpt,https://smileaireviewhub.com/comparisons/notion-ai-vs-chatgpt/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
165,improve_existing_article,AI writing tools|comparisons,notion ai vs clickup ai,https://smileaireviewhub.com/comparisons/notion-ai-vs-clickup-ai/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
166,improve_existing_article,AI writing tools|comparisons,notion vs clickup,https://smileaireviewhub.com/comparisons/notion-vs-clickup/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
167,improve_existing_article,comparisons,perplexity vs chatgpt,https://smileaireviewhub.com/comparisons/perplexity-vs-chatgpt/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
168,improve_existing_article,AI coding tools|comparisons,replit vs cursor,https://smileaireviewhub.com/comparisons/replit-vs-cursor/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
169,improve_existing_article,comparisons,runway vs pika,https://smileaireviewhub.com/comparisons/runway-vs-pika/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
170,improve_existing_article,AI SEO tools|comparisons,semrush vs ahrefs,https://smileaireviewhub.com/comparisons/semrush-vs-ahrefs/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
171,improve_existing_article,AI SEO tools|AI writing tools|comparisons,surfer seo vs frase,https://smileaireviewhub.com/comparisons/surfer-seo-vs-frase/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
172,improve_existing_article,comparisons,synthesia vs heygen,https://smileaireviewhub.com/comparisons/synthesia-vs-heygen/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
173,improve_existing_article,AI coding tools|comparisons,windsurf vs copilot,https://smileaireviewhub.com/comparisons/windsurf-vs-copilot/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
174,improve_existing_article,AI coding tools|pricing,cursor pricing,https://smileaireviewhub.com/cursor-pricing/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
175,improve_existing_article,pricing,elevenlabs pricing,https://smileaireviewhub.com/elevenlabs-pricing/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
176,improve_existing_article,AI coding tools|pricing,github copilot pricing,https://smileaireviewhub.com/github-copilot-pricing/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
177,improve_existing_article,AI automation tools,ai automation,https://smileaireviewhub.com/hub/ai-automation/,,content quality issues: add_experience,medium,medium,"add hands-on experience, use cases, opinion, and comparison detail"
