rank,topic,slug,estimated_monthly_traffic,estimated_ctr,estimated_affiliate_clicks,estimated_conversion_rate,estimated_commission,estimated_monthly_revenue,revenue_confidence,recommended_affiliate_program,money_score
61,Import AI 450: China's electronic warfare model; traumatized LLMs; and a scaling law for cyberattacks,import-ai-450-china-s-electronic-warfare-model-traumatized-llms-and-a-scaling-law-for-cyberattacks,881,0.0186,16.4,0.0428,21.41,15.03,55,Direct affiliate,54.1
62,"Import AI 451: Political superintelligence; Google's society of minds, and a robot drummer",import-ai-451-political-superintelligence-google-s-society-of-minds-and-a-robot-drummer,881,0.0186,16.4,0.0428,21.41,15.03,55,Direct affiliate,54.1
63,Import AI 454: Automating alignment research; safety study of a Chinese model; HiFloat4,import-ai-454-automating-alignment-research-safety-study-of-a-chinese-model-hifloat4,881,0.0186,16.4,0.0428,21.41,15.03,55,Direct affiliate,54.1
64,Import AI 456: RSI and economic growth; radical optionality for AI regulation; and a neural computer,import-ai-456-rsi-and-economic-growth-radical-optionality-for-ai-regulation-and-a-neural-computer,881,0.0186,16.4,0.0428,21.41,15.03,55,Direct affiliate,54.1
65,Import AI 457: AI stuxnet; cursed Muon optimizer; and positive alignment,import-ai-457-ai-stuxnet-cursed-muon-optimizer-and-positive-alignment,881,0.0186,16.4,0.0428,21.41,15.03,55,Direct affiliate,54.1
66,Import AI 458: Reckoning with the future; and a singularity story,import-ai-458-reckoning-with-the-future-and-a-singularity-story,881,0.0186,16.4,0.0428,21.41,15.03,55,Direct affiliate,54.1
67,"Import AI 460: Reward hacking society, RSI data from Anthropic; and RL-based quadcopter racing",import-ai-460-reward-hacking-society-rsi-data-from-anthropic-and-rl-based-quadcopter-racing,881,0.0186,16.4,0.0428,21.41,15.03,55,Direct affiliate,54.1
68,"Import AI 461: ""Alignment is not on track""; FrontierCode; and synthetic research interns",import-ai-461-alignment-is-not-on-track-frontiercode-and-synthetic-research-interns,881,0.0186,16.4,0.0428,21.41,15.03,55,Direct affiliate,54.1
69,Import AI 462: Superpersuasion; self-sustaining AI; paths to ASI,import-ai-462-superpersuasion-self-sustaining-ai-paths-to-asi,881,0.0186,16.4,0.0428,21.41,15.03,55,Direct affiliate,54.1
70,Import AI 463: Self-improving robots; a 10k Chinese GPU cluster; and an elegiac essay for the human era,import-ai-463-self-improving-robots-a-10k-chinese-gpu-cluster-and-an-elegiac-essay-for-the-human-era,881,0.0186,16.4,0.0428,21.41,15.03,55,Direct affiliate,54.1
71,ImportAI 449: LLMs training other LLMs; 72B distributed training run; computer vision is harder than generative text,importai-449-llms-training-other-llms-72b-distributed-training-run-computer-vision-is-harder-than-generative-text,881,0.0186,16.4,0.0428,21.41,15.03,55,Direct affiliate,54.1
81,Shopify launches AI-powered marketing automation tool,shopify-launches-ai-powered-marketing-automation-tool,988,0.0186,18.4,0.0386,20.71,14.71,75,PartnerStack / Direct affiliate,54.1
72,Folio AI,folio-ai,817,0.0177,14.5,0.0428,21.41,13.29,55,Direct affiliate,52.9
73,Oxlo.ai,oxlo-ai,817,0.0177,14.5,0.0428,21.41,13.29,55,Direct affiliate,52.9
74,discode.ai,discode-ai,817,0.0177,14.5,0.0428,21.41,13.29,55,Direct affiliate,52.9
83,ImageKit Launches Creative Automation with AI Assist to Help Teams Generate On-Brand Visuals at Scale,imagekit-launches-creative-automation-with-ai-assist-to-help-teams-generate-on-brand-visuals-at-scale,988,0.0186,18.4,0.036,19.2,12.72,75,PartnerStack / Direct affiliate,50.7
28,Ornith-1.0: self-improving open-source models for agentic coding,ornith-1-0-self-improving-open-source-models-for-agentic-coding,1156,0.0186,21.5,0.0428,21.41,19.7,25,No clear program,46.6
31,Ornith-1.0: Self-scaffolding LLMs for agentic coding,ornith-1-0-self-scaffolding-llms-for-agentic-coding,1097,0.0186,20.4,0.0428,21.41,18.69,25,No clear program,46.6
75,A language model that runs on 5$ chip,a-language-model-that-runs-on-5-chip,881,0.0186,16.4,0.0428,21.41,15.03,25,No clear program,46.6
76,I built a benchmark for multi-turn prompt injection attacks. Most defenses never see them coming.,i-built-a-benchmark-for-multi-turn-prompt-injection-attacks-most-defenses-never-see-them-coming,881,0.0186,16.4,0.0428,21.41,15.03,25,No clear program,46.6
84,Asian AI startups launch Mythos-like models as Anthropic's export ban drags on,asian-ai-startups-launch-mythos-like-models-as-anthropic-s-export-ban-drags-on,881,0.0186,16.4,0.0328,16.15,8.69,55,Direct affiliate,41.1
