rank,topic,slug,article_type,estimated_monthly_traffic,affiliate_conversion_rate,estimated_revenue_score,estimated_value,affiliate_score,money_score,final_score,recommended_action
64,Tough Tongue AI for Sales,tough-tongue-ai-for-sales,evergreen,792,0.05,50.7,405.9,41.0,47.6,44.7,MONITOR
65,AI Is Automating Marketing Execution But Raising The Value Of Judgment,ai-is-automating-marketing-execution-but-raising-the-value-of-judgment,evergreen,792,0.05,50.7,405.9,41.0,47.5,44.5,MONITOR
66,"Hey Siri, meet AI",hey-siri-meet-ai,evergreen,792,0.05,50.7,405.9,41.0,47.5,44.5,MONITOR
67,Import AI 446: Nuclear LLMs; China's big AI benchmark; measurement and AI policy,import-ai-446-nuclear-llms-china-s-big-ai-benchmark-measurement-and-ai-policy,evergreen,792,0.05,50.7,405.9,41.0,47.5,44.5,MONITOR
68,Import AI 450: China's electronic warfare model; traumatized LLMs; and a scaling law for cyberattacks,import-ai-450-china-s-electronic-warfare-model-traumatized-llms-and-a-scaling-law-for-cyberattacks,evergreen,792,0.05,50.7,405.9,41.0,47.5,44.5,MONITOR
69,"Import AI 451: Political superintelligence; Google's society of minds, and a robot drummer",import-ai-451-political-superintelligence-google-s-society-of-minds-and-a-robot-drummer,evergreen,792,0.05,50.7,405.9,41.0,47.5,44.5,MONITOR
70,Import AI 456: RSI and economic growth; radical optionality for AI regulation; and a neural computer,import-ai-456-rsi-and-economic-growth-radical-optionality-for-ai-regulation-and-a-neural-computer,evergreen,792,0.05,50.7,405.9,41.0,47.5,44.5,MONITOR
71,Import AI 457: AI stuxnet; cursed Muon optimizer; and positive alignment,import-ai-457-ai-stuxnet-cursed-muon-optimizer-and-positive-alignment,evergreen,792,0.05,50.7,405.9,41.0,47.5,44.5,MONITOR
72,Import AI 458: Reckoning with the future; and a singularity story,import-ai-458-reckoning-with-the-future-and-a-singularity-story,evergreen,792,0.05,50.7,405.9,41.0,47.5,44.5,MONITOR
73,"Import AI 460: Reward hacking society, RSI data from Anthropic; and RL-based quadcopter racing",import-ai-460-reward-hacking-society-rsi-data-from-anthropic-and-rl-based-quadcopter-racing,evergreen,792,0.05,50.7,405.9,41.0,47.5,44.5,MONITOR
74,"Import AI 461: ""Alignment is not on track""; FrontierCode; and synthetic research interns",import-ai-461-alignment-is-not-on-track-frontiercode-and-synthetic-research-interns,evergreen,792,0.05,50.7,405.9,41.0,47.5,44.5,MONITOR
75,Import AI 462: Superpersuasion; self-sustaining AI; paths to ASI,import-ai-462-superpersuasion-self-sustaining-ai-paths-to-asi,evergreen,792,0.05,50.7,405.9,41.0,47.5,44.5,MONITOR
76,Import AI 463: Self-improving robots; a 10k Chinese GPU cluster; and an elegiac essay for the human era,import-ai-463-self-improving-robots-a-10k-chinese-gpu-cluster-and-an-elegiac-essay-for-the-human-era,evergreen,792,0.05,50.7,405.9,41.0,47.5,44.5,MONITOR
77,ImportAI 449: LLMs training other LLMs; 72B distributed training run; computer vision is harder than generative text,importai-449-llms-training-other-llms-72b-distributed-training-run-computer-vision-is-harder-than-generative-text,evergreen,792,0.05,50.7,405.9,41.0,47.5,44.5,MONITOR
78,Folio AI,folio-ai,evergreen,792,0.05,50.7,405.9,41.0,46.2,43.6,MONITOR
79,Oxlo.ai,oxlo-ai,evergreen,792,0.05,50.7,405.9,41.0,46.2,43.6,MONITOR
80,discode.ai,discode-ai,evergreen,792,0.05,50.7,405.9,41.0,46.2,43.6,MONITOR
81,BetterCloud Unveils AI-Native Next Generation SaaS Management Platform to Help Enterprises Govern AI at Scale,bettercloud-unveils-ai-native-next-generation-saas-management-platform-to-help-enterprises-govern-ai-at-scale,evergreen,864,0.052,47.7,381.89,34.0,46.4,42.0,MONITOR
82,Shopify launches AI-powered marketing automation tool,shopify-launches-ai-powered-marketing-automation-tool,news,864,0.05,45.9,367.2,34.0,27.9,40.7,MONITOR
83,ImageKit Launches Creative Automation with AI Assist to Help Teams Generate On-Brand Visuals at Scale,imagekit-launches-creative-automation-with-ai-assist-to-help-teams-generate-on-brand-visuals-at-scale,news,864,0.045,31.6,252.72,26.0,25.1,39.2,MONITOR
84,Asian AI startups launch Mythos-like models as Anthropic's export ban drags on,asian-ai-startups-launch-mythos-like-models-as-anthropic-s-export-ban-drags-on,news,792,0.033,16.3,130.68,16.0,15.7,34.0,MONITOR
