offer_id,brand_name,website,affiliate_url,niche,commission_type,commission_rate,flat_commission,cookie_days,recurring,traffic_policy,direct_linking_allowed,brand_bidding_allowed,vendor_trust,buyer_intent,notes
pipedrive-crm,Pipedrive CRM,https://www.pipedrive.com,,CRM,UNKNOWN,0,0,0,False,NEED_REVIEW - affiliate approval and paid search policy not verified,False,False,86,84,Sales CRM with strong comparison and alternative search intent.
pipedrive,Pipedrive,https://www.pipedrive.com,,CRM,UNKNOWN,0,0,0,False,NEED_REVIEW - affiliate approval and paid search policy not verified,False,False,86,84,Sales CRM with strong comparison and alternative search intent.
notion-ai,Notion AI,https://www.notion.com/product/ai,,AI Productivity,UNKNOWN,0,0,0,False,NEED_REVIEW - affiliate approval and paid search policy not verified,False,False,90,78,Workspace AI assistant angle for productivity and content workflows.
jasper,Jasper,https://www.jasper.ai,https://www.jasper.ai/partners,AI Writing,recurring,30,0,45,True,"paid search allowed, no trademark bidding, no direct linking",False,False,86,88,AI writing and marketing content tool with strong buyer intent.
copy-ai,Copy.ai,https://www.copy.ai,,AI Writing,UNKNOWN,0,0,0,False,NEED_REVIEW - affiliate approval and paid search policy not verified,False,False,82,82,AI writing and go-to-market workflow tool.
descript,Descript,https://www.descript.com,,AI Video,UNKNOWN,0,0,0,False,NEED_REVIEW - affiliate approval and paid search policy not verified,False,False,84,80,Video and podcast editing workflow with AI features.
runway,Runway,https://runwayml.com,,AI Video,UNKNOWN,0,0,0,False,NEED_REVIEW - affiliate approval and paid search policy not verified,False,False,86,79,AI video generation and creative editing workflow.
zapier,Zapier,https://zapier.com,,Automation,UNKNOWN,0,0,0,False,NEED_REVIEW - affiliate approval and paid search policy not verified,False,False,90,86,Automation platform with strong comparison intent against Make.
framer,Framer,https://www.framer.com,,Website Builder,UNKNOWN,0,0,0,False,NEED_REVIEW - affiliate approval and paid search policy not verified,False,False,84,81,Website builder for modern marketing sites and design-led teams.
webflow,Webflow,https://webflow.com,,Website Builder,UNKNOWN,0,0,0,False,NEED_REVIEW - affiliate approval and paid search policy not verified,False,False,89,83,Professional website builder and CMS workflow.
durable,Durable,https://durable.co,,Website Builder,UNKNOWN,0,0,0,False,NEED_REVIEW - affiliate approval and paid search policy not verified,False,False,76,74,AI website builder for small business website drafts.
cursor,Cursor,https://cursor.com,,AI Coding,UNKNOWN,0,0,0,False,NEED_REVIEW - affiliate approval and paid search policy not verified,False,False,84,86,AI coding editor with strong developer search demand.
github-copilot,GitHub Copilot,https://github.com/features/copilot,,AI Coding,UNKNOWN,0,0,0,False,NEED_REVIEW - affiliate approval and paid search policy not verified,False,False,94,88,AI coding assistant with very high brand awareness.
semrush,Semrush,https://www.semrush.com,,AI SEO,UNKNOWN,0,0,0,False,NEED_REVIEW - affiliate approval and paid search policy not verified,False,False,92,90,SEO suite with high-intent comparison and alternatives search.
claude,Claude,https://claude.ai,,AI Assistant,unknown,0,0,0,False,Official link only. Affiliate program and paid traffic terms require manual verification.,False,False,88,90,"AI assistant for long-form analysis, writing, and document workflows."
chatgpt,ChatGPT,https://chatgpt.com,,AI Assistant,unknown,0,0,0,False,Official link only. Affiliate program and paid traffic terms require manual verification.,False,False,90,92,"General AI assistant for writing, analysis, coding help, and everyday productivity."
gemini,Gemini,https://gemini.google.com,,AI Assistant,unknown,0,0,0,False,Official link only. Affiliate program and paid traffic terms require manual verification.,False,False,86,88,"Google AI assistant for research, productivity, and Workspace-adjacent workflows."
perplexity,Perplexity,https://www.perplexity.ai,,AI Search,unknown,0,0,0,False,Official link only. Affiliate program and paid traffic terms require manual verification.,False,False,86,86,AI answer and research engine for source-aware search workflows.
windsurf,Windsurf,https://windsurf.com,,AI Coding,unknown,0,0,0,False,Official link only. Affiliate program and paid traffic terms require manual verification.,False,False,86,86,AI coding editor and agent workflow for developers and app builders.
lovable,Lovable,https://lovable.dev,,AI App Builder,unknown,0,0,0,False,Official link only. Affiliate program and paid traffic terms require manual verification.,False,False,84,84,AI app builder for rapid product prototypes and web app drafts.
bolt,Bolt,https://bolt.new,,AI App Builder,unknown,0,0,0,False,Official link only. Affiliate program and paid traffic terms require manual verification.,False,False,84,84,Browser-based AI app prototyping and coding workspace.
replit,Replit,https://replit.com,,Cloud Development,unknown,0,0,0,False,Official link only. Affiliate program and paid traffic terms require manual verification.,False,False,84,84,"Cloud coding workspace with AI assistance, collaboration, and hosted projects."
midjourney,Midjourney,https://www.midjourney.com,,AI Image,unknown,0,0,0,False,Official link only. Affiliate program and paid traffic terms require manual verification.,False,False,84,86,"AI image generator for visual concepts, creative assets, and brand exploration."
frase,Frase,https://www.frase.io,,AI SEO,unknown,0,0,0,False,Official link only. Affiliate program and paid traffic terms require manual verification.,False,False,82,84,"SEO content workflow tool for briefs, SERP research, and content optimization."
ahrefs-ai,Ahrefs AI,https://ahrefs.com,,AI SEO,unknown,0,0,0,False,Official link only. Affiliate program and paid traffic terms require manual verification.,False,False,86,86,Ahrefs SEO research workflow with AI-assisted content and keyword planning.
semrush-ai,Semrush AI,https://www.semrush.com,,AI SEO,unknown,0,0,0,False,Official link only. Affiliate program and paid traffic terms require manual verification.,False,False,86,86,Semrush AI-assisted SEO and marketing workflow research.
