"slug","title","output_path","url","page_type"
"best-affiliate-marketing-software-saas","Best Affiliate Marketing Software for SaaS Companies","D:\AFFILATE BOT\site_output\best-affiliate-marketing-software-saas\index.html","https://smileaireviewhub.com/best-affiliate-marketing-software-saas/","article"
"review-trackdesk-review-2026","Trackdesk Review 2026: Affiliate Tracking, Pricing, Pros & Cons","D:\AFFILATE BOT\site_output\trackdesk-review-2026\index.html","https://smileaireviewhub.com/trackdesk-review-2026/","review"
"review-neuronwriter-review-2026","NeuronWriter Review 2026","D:\AFFILATE BOT\site_output\neuronwriter-review-2026\index.html","https://smileaireviewhub.com/neuronwriter-review-2026/","review"
"review-lowfruits-review-2026","LowFruits Review 2026","D:\AFFILATE BOT\site_output\lowfruits-review-2026\index.html","https://smileaireviewhub.com/lowfruits-review-2026/","review"
"review-keysearch-review-2026","KeySearch Review 2026","D:\AFFILATE BOT\site_output\keysearch-review-2026\index.html","https://smileaireviewhub.com/keysearch-review-2026/","review"
"review-link-whisper-review-2026","Link Whisper Review 2026","D:\AFFILATE BOT\site_output\link-whisper-review-2026\index.html","https://smileaireviewhub.com/link-whisper-review-2026/","review"
"review-tally-forms-review-2026","Tally Forms Review 2026","D:\AFFILATE BOT\site_output\tally-forms-review-2026\index.html","https://smileaireviewhub.com/tally-forms-review-2026/","review"
"review-plausible-analytics-review-2026","Plausible Analytics Review 2026","D:\AFFILATE BOT\site_output\plausible-analytics-review-2026\index.html","https://smileaireviewhub.com/plausible-analytics-review-2026/","review"
"review-fathom-analytics-review-2026","Fathom Analytics Review 2026","D:\AFFILATE BOT\site_output\fathom-analytics-review-2026\index.html","https://smileaireviewhub.com/fathom-analytics-review-2026/","review"
"review-bunny-net-review-2026","Bunny.net Review 2026","D:\AFFILATE BOT\site_output\bunny-net-review-2026\index.html","https://smileaireviewhub.com/bunny-net-review-2026/","review"
"review-senja-review-2026","Senja Review 2026","D:\AFFILATE BOT\site_output\senja-review-2026\index.html","https://smileaireviewhub.com/senja-review-2026/","review"
"review-beehiiv-review-2026","beehiiv Review 2026","D:\AFFILATE BOT\site_output\beehiiv-review-2026\index.html","https://smileaireviewhub.com/beehiiv-review-2026/","review"
"skillspector-review-2026","SkillSpector Review 2026: Open-Source AI Agent Skill Analysis","D:\AFFILATE BOT\site_output\skillspector-review-2026\index.html","https://smileaireviewhub.com/skillspector-review-2026/","review"
"ai-design-software-review","AI Design Software Review 2026: Best Tools for Real Workflows","D:\AFFILATE BOT\site_output\ai-design-software-review\index.html","https://smileaireviewhub.com/ai-design-software-review/","article"
"ai-video-software-review","AI Video Software Review 2026: Best Tools Compared","D:\AFFILATE BOT\site_output\ai-video-software-review\index.html","https://smileaireviewhub.com/ai-video-software-review/","article"
"ai-writing-software-review","AI Writing Software Review 2026: Best Tools Compared","D:\AFFILATE BOT\site_output\ai-writing-software-review\index.html","https://smileaireviewhub.com/ai-writing-software-review/","article"
"automation-software-comparison","Automation Software Comparison 2026: Zapier, Make and More","D:\AFFILATE BOT\site_output\automation-software-comparison\index.html","https://smileaireviewhub.com/automation-software-comparison/","article"
"ai-tools-in-2026-what-each-platform-does-best-in-real-world-workflows","AI Tools in 2026: What Each Platform Does Best","D:\AFFILATE BOT\site_output\ai-tools-in-2026-what-each-platform-does-best-in-real-world-workflows\index.html","https://smileaireviewhub.com/ai-tools-in-2026-what-each-platform-does-best-in-real-world-workflows/","article"
"ai-assistant-software-comparison","AI Assistant Software Comparison 2026: Which One Fits?","D:\AFFILATE BOT\site_output\ai-assistant-software-comparison\index.html","https://smileaireviewhub.com/ai-assistant-software-comparison/","article"
"aisuite-review-2026","aisuite Review 2026: A Simple Interface for Multiple LLMs","D:\AFFILATE BOT\site_output\aisuite-review-2026\index.html","https://smileaireviewhub.com/aisuite-review-2026/","review"
"best-ai-assistant-software","Best AI Assistant Software 2026: Practical Buyer Guide","D:\AFFILATE BOT\site_output\best-ai-assistant-software\index.html","https://smileaireviewhub.com/best-ai-assistant-software/","article"
"ai-coding-software-comparison","AI Coding Software Comparison 2026: Best Tools for Developers","D:\AFFILATE BOT\site_output\ai-coding-software-comparison\index.html","https://smileaireviewhub.com/ai-coding-software-comparison/","article"
"self-hosting-guide-review-2026","Self-Hosting Guide Review 2026: Build a Practical Home Lab","D:\AFFILATE BOT\site_output\self-hosting-guide-review-2026\index.html","https://smileaireviewhub.com/self-hosting-guide-review-2026/","review"
"agent-reach-review-2026","Agent Reach Review 2026: Open-Source AI Agent Research","D:\AFFILATE BOT\site_output\agent-reach-review-2026\index.html","https://smileaireviewhub.com/agent-reach-review-2026/","review"
"ai-engineering-from-scratch-review-2026","AI Engineering From Scratch Review 2026: Learning Guide","D:\AFFILATE BOT\site_output\ai-engineering-from-scratch-review-2026\index.html","https://smileaireviewhub.com/ai-engineering-from-scratch-review-2026/","review"
"cua-review-2026","CUA Review 2026: Computer-Use Agent Infrastructure","D:\AFFILATE BOT\site_output\cua-review-2026\index.html","https://smileaireviewhub.com/cua-review-2026/","review"
"ai-productivity-software-comparison","AI Productivity Software Comparison 2026","D:\AFFILATE BOT\site_output\ai-productivity-software-comparison\index.html","https://smileaireviewhub.com/ai-productivity-software-comparison/","article"
"ai-seo-software-comparison","AI SEO Software Comparison 2026: Best Tools by Workflow","D:\AFFILATE BOT\site_output\ai-seo-software-comparison\index.html","https://smileaireviewhub.com/ai-seo-software-comparison/","article"
"productivity-software-comparison","Productivity Software Comparison 2026: Choose the Right Stack","D:\AFFILATE BOT\site_output\productivity-software-comparison\index.html","https://smileaireviewhub.com/productivity-software-comparison/","article"
"ai-design-software-comparison","AI Design Software Comparison 2026: Best Tools by Use Case","D:\AFFILATE BOT\site_output\ai-design-software-comparison\index.html","https://smileaireviewhub.com/ai-design-software-comparison/","article"
"ai-image-software-comparison","AI Image Software Comparison 2026: Generators and Editors","D:\AFFILATE BOT\site_output\ai-image-software-comparison\index.html","https://smileaireviewhub.com/ai-image-software-comparison/","article"
"ai-meeting-software-comparison","AI Meeting Software Comparison 2026: Notes and Workflows","D:\AFFILATE BOT\site_output\ai-meeting-software-comparison\index.html","https://smileaireviewhub.com/ai-meeting-software-comparison/","article"
"openmontage-review-2026","OpenMontage Review 2026","D:\AFFILATE BOT\site_output\openmontage-review-2026\index.html","https://smileaireviewhub.com/openmontage-review-2026/","review"
"superpowers-review-2026","superpowers Review 2026","D:\AFFILATE BOT\site_output\superpowers-review-2026\index.html","https://smileaireviewhub.com/superpowers-review-2026/","review"
"ui-tars-desktop-review-2026","UI-TARS-desktop Review 2026","D:\AFFILATE BOT\site_output\ui-tars-desktop-review-2026\index.html","https://smileaireviewhub.com/ui-tars-desktop-review-2026/","review"
"rlm-review-2026","rlm Review 2026","D:\AFFILATE BOT\site_output\rlm-review-2026\index.html","https://smileaireviewhub.com/rlm-review-2026/","review"
"8-best-generative-ai-software-stocks-to-buy-in-june-2026","8 Best Generative AI Software Stocks to Buy in June 2026","D:\AFFILATE BOT\site_output\8-best-generative-ai-software-stocks-to-buy-in-june-2026\index.html","https://smileaireviewhub.com/8-best-generative-ai-software-stocks-to-buy-in-june-2026/","article"
"ai-search-software-comparison","AI Search Software Comparison 2026","D:\AFFILATE BOT\site_output\ai-search-software-comparison\index.html","https://smileaireviewhub.com/ai-search-software-comparison/","article"
"ai-video-software-comparison","AI Video Software Comparison 2026","D:\AFFILATE BOT\site_output\ai-video-software-comparison\index.html","https://smileaireviewhub.com/ai-video-software-comparison/","article"
"ai-voice-software-comparison","AI Voice Software Comparison 2026","D:\AFFILATE BOT\site_output\ai-voice-software-comparison\index.html","https://smileaireviewhub.com/ai-voice-software-comparison/","article"
"ai-writing-software-comparison","AI Writing Software Comparison 2026","D:\AFFILATE BOT\site_output\ai-writing-software-comparison\index.html","https://smileaireviewhub.com/ai-writing-software-comparison/","article"
"trex-an-ai-code-reviewer-that-runs-your-code","TREX: An AI code reviewer that runs your code","D:\AFFILATE BOT\site_output\trex-an-ai-code-reviewer-that-runs-your-code\index.html","https://smileaireviewhub.com/trex-an-ai-code-reviewer-that-runs-your-code/","article"
"rnns-vs-transformers-vs-ssms-where-should-ai-memory-live-for-continual-learning","RNNs vs Transformers vs SSMs: where should AI memory live for continual learning?","D:\AFFILATE BOT\site_output\rnns-vs-transformers-vs-ssms-where-should-ai-memory-live-for-continual-learning\index.html","https://smileaireviewhub.com/rnns-vs-transformers-vs-ssms-where-should-ai-memory-live-for-continual-learning/","article"
"kilocode-review-2026","kilocode Review 2026","D:\AFFILATE BOT\site_output\kilocode-review-2026\index.html","https://smileaireviewhub.com/kilocode-review-2026/","review"
"affordable-ai-video-platform","affordable ai video platform","D:\AFFILATE BOT\site_output\affordable-ai-video-platform\index.html","https://smileaireviewhub.com/affordable-ai-video-platform/","article"
"best-ai-assistant-tools","best ai assistant tools","D:\AFFILATE BOT\site_output\best-ai-assistant-tools\index.html","https://smileaireviewhub.com/best-ai-assistant-tools/","article"
"affordable-ai-assistant-platform","affordable ai assistant platform","D:\AFFILATE BOT\site_output\affordable-ai-assistant-platform\index.html","https://smileaireviewhub.com/affordable-ai-assistant-platform/","article"
"best-automation-software","best automation software","D:\AFFILATE BOT\site_output\best-automation-software\index.html","https://smileaireviewhub.com/best-automation-software/","article"
"affordable-ai-writing-platform","affordable ai writing platform","D:\AFFILATE BOT\site_output\affordable-ai-writing-platform\index.html","https://smileaireviewhub.com/affordable-ai-writing-platform/","article"
"affordable-automation-platform","affordable automation platform","D:\AFFILATE BOT\site_output\affordable-automation-platform\index.html","https://smileaireviewhub.com/affordable-automation-platform/","article"
"affordable-ai-app-builder-platform","affordable ai app builder platform","D:\AFFILATE BOT\site_output\affordable-ai-app-builder-platform\index.html","https://smileaireviewhub.com/affordable-ai-app-builder-platform/","article"
"zvec-review-2026","zvec Review 2026","D:\AFFILATE BOT\site_output\zvec-review-2026\index.html","https://smileaireviewhub.com/zvec-review-2026/","review"
