date,time,platform,language,post_title,content_file,target_url,status
2026-05-24,07:30,linkedin,en,Day 08 AI coding workflow - linkedin en,social_assets/30_day_plan/day-08-0730-en-linkedin.md,https://smileaireviewhub.com/free-ai-coding-workflow-checklist/,pending_review
2026-05-24,20:30,facebook,vi,Day 08 AI coding workflow - facebook vi,social_assets/30_day_plan/day-08-2030-vi-facebook.md,https://smileaireviewhub.com/vi/free-ai-coding-workflow-checklist/,pending_review
2026-05-25,07:30,linkedin,en,Day 09 Beginner-friendly AI coding tools - linkedin en,social_assets/30_day_plan/day-09-0730-en-linkedin.md,https://smileaireviewhub.com/free-ai-coding-workflow-checklist/,pending_review
2026-05-25,20:30,facebook,vi,Day 09 Beginner-friendly AI coding tools - facebook vi,social_assets/30_day_plan/day-09-2030-vi-facebook.md,https://smileaireviewhub.com/vi/free-ai-coding-workflow-checklist/,pending_review
2026-05-26,07:30,linkedin,en,Day 10 Prompt examples - linkedin en,social_assets/30_day_plan/day-10-0730-en-linkedin.md,https://smileaireviewhub.com/free-ai-coding-workflow-checklist/,pending_review
2026-05-26,20:30,facebook,vi,Day 10 Prompt examples - facebook vi,social_assets/30_day_plan/day-10-2030-vi-facebook.md,https://smileaireviewhub.com/vi/free-ai-coding-workflow-checklist/,pending_review
2026-05-27,07:30,linkedin,en,Day 11 Cursor cleanup - linkedin en,social_assets/30_day_plan/day-11-0730-en-linkedin.md,https://smileaireviewhub.com/free-ai-coding-workflow-checklist/,pending_review
2026-05-27,20:30,facebook,vi,Day 11 Cursor cleanup - facebook vi,social_assets/30_day_plan/day-11-2030-vi-facebook.md,https://smileaireviewhub.com/vi/free-ai-coding-workflow-checklist/,pending_review
2026-05-28,07:30,linkedin,en,Day 12 Windsurf scaffolding - linkedin en,social_assets/30_day_plan/day-12-0730-en-linkedin.md,https://smileaireviewhub.com/free-ai-coding-workflow-checklist/,pending_review
2026-05-28,20:30,facebook,vi,Day 12 Windsurf scaffolding - facebook vi,social_assets/30_day_plan/day-12-2030-vi-facebook.md,https://smileaireviewhub.com/vi/free-ai-coding-workflow-checklist/,pending_review
2026-05-29,07:30,linkedin,en,Day 13 Codex architecture repair - linkedin en,social_assets/30_day_plan/day-13-0730-en-linkedin.md,https://smileaireviewhub.com/free-ai-coding-workflow-checklist/,pending_review
2026-05-29,20:30,facebook,vi,Day 13 Codex architecture repair - facebook vi,social_assets/30_day_plan/day-13-2030-vi-facebook.md,https://smileaireviewhub.com/vi/free-ai-coding-workflow-checklist/,pending_review
2026-05-30,07:30,linkedin,en,Day 14 Copilot autocomplete - linkedin en,social_assets/30_day_plan/day-14-0730-en-linkedin.md,https://smileaireviewhub.com/free-ai-coding-workflow-checklist/,pending_review
2026-05-30,20:30,facebook,vi,Day 14 Copilot autocomplete - facebook vi,social_assets/30_day_plan/day-14-2030-vi-facebook.md,https://smileaireviewhub.com/vi/free-ai-coding-workflow-checklist/,pending_review
