topic,slug,article_url,publish_priority,target_publish_date,article_status,video_status,social_status,index_status,last_checked,next_action
Filum.ai,filum-ai,https://smileaireviewhub.com/filum-ai/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
Agent Mode by Receiptor AI,agent-mode-by-receiptor-ai,https://smileaireviewhub.com/agent-mode-by-receiptor-ai/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
Import AI 447: The AGI economy; testing AIs with generated games; and agent ecologies,import-ai-447-the-agi-economy-testing-ais-with-generated-games-and-agent-ecologies,https://smileaireviewhub.com/import-ai-447-the-agi-economy-testing-ais-with-generated-games-and-agent-ecologies/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
The first big exit in AI,the-first-big-exit-in-ai,https://smileaireviewhub.com/the-first-big-exit-in-ai/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
Ornith-1.0: self-improving open-source models for agentic coding,ornith-1-0-self-improving-open-source-models-for-agentic-coding,https://smileaireviewhub.com/ornith-1-0-self-improving-open-source-models-for-agentic-coding/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
Ornith-1.0: Self-scaffolding LLMs for agentic coding,ornith-1-0-self-scaffolding-llms-for-agentic-coding,https://smileaireviewhub.com/ornith-1-0-self-scaffolding-llms-for-agentic-coding/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
Tidal AI Policy,tidal-ai-policy,https://smileaireviewhub.com/tidal-ai-policy/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
Working With AI: A concrete example,working-with-ai-a-concrete-example,https://smileaireviewhub.com/working-with-ai-a-concrete-example/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
Why Won't Europe Build AI Data Centers in Iceland?,why-won-t-europe-build-ai-data-centers-in-iceland,https://smileaireviewhub.com/why-won-t-europe-build-ai-data-centers-in-iceland/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
AI Companies Will Become Profitable Eventually. Here's why.,ai-companies-will-become-profitable-eventually-here-s-why,https://smileaireviewhub.com/ai-companies-will-become-profitable-eventually-here-s-why/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
Ford rehires veteran engineers after AI fails to meet quality standards,ford-rehires-veteran-engineers-after-ai-fails-to-meet-quality-standards,https://smileaireviewhub.com/ford-rehires-veteran-engineers-after-ai-fails-to-meet-quality-standards/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
"Has AI changed the way you think, not just the way you work?",has-ai-changed-the-way-you-think-not-just-the-way-you-work,https://smileaireviewhub.com/has-ai-changed-the-way-you-think-not-just-the-way-you-work/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
"My AI Predictions, Two Years Later: The Ones That Landed",my-ai-predictions-two-years-later-the-ones-that-landed,https://smileaireviewhub.com/my-ai-predictions-two-years-later-the-ones-that-landed/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
Palantir and Nvidia Expand Sovereign AI Partnership for US Government,palantir-and-nvidia-expand-sovereign-ai-partnership-for-us-government,https://smileaireviewhub.com/palantir-and-nvidia-expand-sovereign-ai-partnership-for-us-government/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
What AI capability do you think is still surprisingly underdeveloped?,what-ai-capability-do-you-think-is-still-surprisingly-underdeveloped,https://smileaireviewhub.com/what-ai-capability-do-you-think-is-still-surprisingly-underdeveloped/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
What if AI's failures reveal our vices more than its limits?,what-if-ai-s-failures-reveal-our-vices-more-than-its-limits,https://smileaireviewhub.com/what-if-ai-s-failures-reveal-our-vices-more-than-its-limits/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
Working on my first fully featured Ai companion with Vision for games and movies n all that!,working-on-my-first-fully-featured-ai-companion-with-vision-for-games-and-movies-n-all-that,https://smileaireviewhub.com/working-on-my-first-fully-featured-ai-companion-with-vision-for-games-and-movies-n-all-that/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
AI Slide Editor by CubeOne,ai-slide-editor-by-cubeone,https://smileaireviewhub.com/ai-slide-editor-by-cubeone/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
Tough Tongue AI for Sales,tough-tongue-ai-for-sales,https://smileaireviewhub.com/tough-tongue-ai-for-sales/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
A language model that runs on 5$ chip,a-language-model-that-runs-on-5-chip,https://smileaireviewhub.com/a-language-model-that-runs-on-5-chip/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
I built a benchmark for multi-turn prompt injection attacks. Most defenses never see them coming.,i-built-a-benchmark-for-multi-turn-prompt-injection-attacks-most-defenses-never-see-them-coming,https://smileaireviewhub.com/i-built-a-benchmark-for-multi-turn-prompt-injection-attacks-most-defenses-never-see-them-coming/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
AI Is Automating Marketing Execution But Raising The Value Of Judgment,ai-is-automating-marketing-execution-but-raising-the-value-of-judgment,https://smileaireviewhub.com/ai-is-automating-marketing-execution-but-raising-the-value-of-judgment/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
"Hey Siri, meet AI",hey-siri-meet-ai,https://smileaireviewhub.com/hey-siri-meet-ai/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
Import AI 445: Timing superintelligence; AIs solve frontier math proofs; a new ML research benchmark,import-ai-445-timing-superintelligence-ais-solve-frontier-math-proofs-a-new-ml-research-benchmark,https://smileaireviewhub.com/import-ai-445-timing-superintelligence-ais-solve-frontier-math-proofs-a-new-ml-research-benchmark/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
Import AI 446: Nuclear LLMs; China's big AI benchmark; measurement and AI policy,import-ai-446-nuclear-llms-china-s-big-ai-benchmark-measurement-and-ai-policy,https://smileaireviewhub.com/import-ai-446-nuclear-llms-china-s-big-ai-benchmark-measurement-and-ai-policy/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
Import AI 450: China's electronic warfare model; traumatized LLMs; and a scaling law for cyberattacks,import-ai-450-china-s-electronic-warfare-model-traumatized-llms-and-a-scaling-law-for-cyberattacks,https://smileaireviewhub.com/import-ai-450-china-s-electronic-warfare-model-traumatized-llms-and-a-scaling-law-for-cyberattacks/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
"Import AI 451: Political superintelligence; Google's society of minds, and a robot drummer",import-ai-451-political-superintelligence-google-s-society-of-minds-and-a-robot-drummer,https://smileaireviewhub.com/import-ai-451-political-superintelligence-google-s-society-of-minds-and-a-robot-drummer/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
Import AI 454: Automating alignment research; safety study of a Chinese model; HiFloat4,import-ai-454-automating-alignment-research-safety-study-of-a-chinese-model-hifloat4,https://smileaireviewhub.com/import-ai-454-automating-alignment-research-safety-study-of-a-chinese-model-hifloat4/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
Import AI 456: RSI and economic growth; radical optionality for AI regulation; and a neural computer,import-ai-456-rsi-and-economic-growth-radical-optionality-for-ai-regulation-and-a-neural-computer,https://smileaireviewhub.com/import-ai-456-rsi-and-economic-growth-radical-optionality-for-ai-regulation-and-a-neural-computer/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
Import AI 457: AI stuxnet; cursed Muon optimizer; and positive alignment,import-ai-457-ai-stuxnet-cursed-muon-optimizer-and-positive-alignment,https://smileaireviewhub.com/import-ai-457-ai-stuxnet-cursed-muon-optimizer-and-positive-alignment/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
Import AI 458: Reckoning with the future; and a singularity story,import-ai-458-reckoning-with-the-future-and-a-singularity-story,https://smileaireviewhub.com/import-ai-458-reckoning-with-the-future-and-a-singularity-story/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
"Import AI 460: Reward hacking society, RSI data from Anthropic; and RL-based quadcopter racing",import-ai-460-reward-hacking-society-rsi-data-from-anthropic-and-rl-based-quadcopter-racing,https://smileaireviewhub.com/import-ai-460-reward-hacking-society-rsi-data-from-anthropic-and-rl-based-quadcopter-racing/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
"Import AI 461: ""Alignment is not on track""; FrontierCode; and synthetic research interns",import-ai-461-alignment-is-not-on-track-frontiercode-and-synthetic-research-interns,https://smileaireviewhub.com/import-ai-461-alignment-is-not-on-track-frontiercode-and-synthetic-research-interns/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
Import AI 462: Superpersuasion; self-sustaining AI; paths to ASI,import-ai-462-superpersuasion-self-sustaining-ai-paths-to-asi,https://smileaireviewhub.com/import-ai-462-superpersuasion-self-sustaining-ai-paths-to-asi/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
Import AI 463: Self-improving robots; a 10k Chinese GPU cluster; and an elegiac essay for the human era,import-ai-463-self-improving-robots-a-10k-chinese-gpu-cluster-and-an-elegiac-essay-for-the-human-era,https://smileaireviewhub.com/import-ai-463-self-improving-robots-a-10k-chinese-gpu-cluster-and-an-elegiac-essay-for-the-human-era/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
ImportAI 449: LLMs training other LLMs; 72B distributed training run; computer vision is harder than generative text,importai-449-llms-training-other-llms-72b-distributed-training-run-computer-vision-is-harder-than-generative-text,https://smileaireviewhub.com/importai-449-llms-training-other-llms-72b-distributed-training-run-computer-vision-is-harder-than-generative-text/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
BetterCloud Unveils AI-Native Next Generation SaaS Management Platform to Help Enterprises Govern AI at Scale,bettercloud-unveils-ai-native-next-generation-saas-management-platform-to-help-enterprises-govern-ai-at-scale,https://smileaireviewhub.com/bettercloud-unveils-ai-native-next-generation-saas-management-platform-to-help-enterprises-govern-ai-at-scale/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
Folio AI,folio-ai,https://smileaireviewhub.com/folio-ai/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
Oxlo.ai,oxlo-ai,https://smileaireviewhub.com/oxlo-ai/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
discode.ai,discode-ai,https://smileaireviewhub.com/discode-ai/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
Shopify launches AI-powered marketing automation tool,shopify-launches-ai-powered-marketing-automation-tool,https://smileaireviewhub.com/shopify-launches-ai-powered-marketing-automation-tool/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
SaaS stocks are rallying on AI optimism. 3 stocks to buy now.,saas-stocks-are-rallying-on-ai-optimism-3-stocks-to-buy-now,https://smileaireviewhub.com/saas-stocks-are-rallying-on-ai-optimism-3-stocks-to-buy-now/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
ImageKit Launches Creative Automation with AI Assist to Help Teams Generate On-Brand Visuals at Scale,imagekit-launches-creative-automation-with-ai-assist-to-help-teams-generate-on-brand-visuals-at-scale,https://smileaireviewhub.com/imagekit-launches-creative-automation-with-ai-assist-to-help-teams-generate-on-brand-visuals-at-scale/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
Reco Launches Industry-First AI Agent Security to Tackle Agent Sprawl Across SaaS,reco-launches-industry-first-ai-agent-security-to-tackle-agent-sprawl-across-saas,https://smileaireviewhub.com/reco-launches-industry-first-ai-agent-security-to-tackle-agent-sprawl-across-saas/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
Asian AI startups launch Mythos-like models as Anthropic's export ban drags on,asian-ai-startups-launch-mythos-like-models-as-anthropic-s-export-ban-drags-on,https://smileaireviewhub.com/asian-ai-startups-launch-mythos-like-models-as-anthropic-s-export-ban-drags-on/,P5,2026-07-14,Published,Optional,Draft only,Needs GSC data,2026-06-30T07:06:37+00:00,Monitor
