slug,topic,affiliate_disclosure,affiliate_links,missing_products,expired_products,broken_links,missing_cta,issues
compare/grammarly-vs-quillbot,Grammarly vs QuillBot,True,2,,,1,True,broken links; missing CTA
compare/jasper-vs-copy-ai,Jasper vs Copy.ai,True,3,,,1,True,broken links; missing CTA
compare/make-vs-zapier,Make vs Zapier,True,2,,,1,True,broken links; missing CTA
compare/semrush-vs-ahrefs,Semrush vs Ahrefs 2026: Which SEO Tool Is Better?,True,2,,,1,True,broken links; missing CTA
compare/synthesia-vs-pictory,Synthesia vs Pictory,True,2,,,1,True,broken links; missing CTA
comparisons,Comparisons AI/SaaS tools,True,0,,,1,True,missing affiliate links; broken links; missing CTA
comparisons/canva-vs-adobe-express,Canva vs Adobe Express: Which Tool Should You Choose in 2026?,True,1,,,1,False,broken links
comparisons/canva-vs-gamma,Canva vs Gamma,True,2,,,1,True,broken links; missing CTA
comparisons/chatgpt-vs-claude,ChatGPT vs Claude,True,2,,,1,True,broken links; missing CTA
comparisons/chatgpt-vs-gemini,ChatGPT vs Gemini,True,2,,,1,True,broken links; missing CTA
comparisons/chatgpt-vs-perplexity,ChatGPT vs Perplexity,True,2,,,1,True,broken links; missing CTA
comparisons/claude-vs-gemini,Claude vs Gemini,True,2,,,1,True,broken links; missing CTA
comparisons/claude-vs-perplexity,Claude vs Perplexity,True,2,,,1,True,broken links; missing CTA
comparisons/codex-vs-openclaw,Codex vs OpenClaw,True,1,,,1,True,broken links; missing CTA
comparisons/copilot-vs-codex,Copilot vs Codex: Practical Comparison for Real Coding Workflows,True,2,,,1,True,broken links; missing CTA
comparisons/copilot-vs-cursor,Copilot vs Cursor: Which AI Coding Workflow Makes More Sense?,True,4,,,1,True,broken links; missing CTA
comparisons/copilot-vs-tabnine,GitHub Copilot vs Tabnine,True,1,,,1,True,broken links; missing CTA
comparisons/cursor-vs-copilot,Cursor vs GitHub Copilot: Which Tool Should You Choose in 2026?,True,3,,,1,False,broken links
comparisons/cursor-vs-github-copilot,Cursor vs GitHub Copilot,True,3,,,1,True,broken links; missing CTA
comparisons/cursor-vs-vscode,Cursor vs VS Code,True,1,,,1,True,broken links; missing CTA
comparisons/cursor-vs-windsurf,Cursor vs Windsurf,True,2,,,1,True,broken links; missing CTA
comparisons/elevenlabs-vs-murf,ElevenLabs vs Murf,True,1,,,1,True,broken links; missing CTA
comparisons/elevenlabs-vs-playht,ElevenLabs vs PlayHT,True,1,,,1,True,broken links; missing CTA
comparisons/framer-vs-webflow,Framer vs Webflow,True,2,,,1,True,broken links; missing CTA
comparisons/gemini-vs-claude,Gemini vs Claude,True,2,,,1,True,broken links; missing CTA
comparisons/hubspot-vs-salesforce,HubSpot vs Salesforce,True,1,,,1,True,broken links; missing CTA
comparisons/jasper-vs-copy-ai,Jasper vs Copy.ai,True,3,,,1,True,broken links; missing CTA
comparisons/jasper-vs-copyai,Jasper vs Copy.ai,True,2,,,1,True,broken links; missing CTA
comparisons/lovable-vs-bolt,Lovable vs Bolt,True,2,,,1,True,broken links; missing CTA
comparisons/make-vs-zapier,Make vs Zapier,True,2,,,1,True,broken links; missing CTA
comparisons/midjourney-vs-dalle,Midjourney vs DALL-E,True,1,,,1,True,broken links; missing CTA
comparisons/notion-ai-vs-chatgpt,Notion AI vs ChatGPT,True,3,,,1,True,broken links; missing CTA
comparisons/notion-ai-vs-clickup-ai,Notion AI vs ClickUp AI,True,3,,,1,True,broken links; missing CTA
comparisons/notion-vs-clickup,Notion vs ClickUp,True,1,,,1,True,broken links; missing CTA
comparisons/perplexity-vs-chatgpt,Perplexity vs ChatGPT,True,2,,,1,True,broken links; missing CTA
comparisons/replit-vs-cursor,Replit vs Cursor,True,2,,,1,True,broken links; missing CTA
comparisons/runway-vs-pika,Runway vs Pika,True,1,,,1,True,broken links; missing CTA
comparisons/semrush-vs-ahrefs,Semrush vs Ahrefs,True,2,,,1,True,broken links; missing CTA
comparisons/surfer-seo-vs-frase,Surfer SEO vs Frase: Which AI SEO Tool Is Better?,True,2,,,1,True,broken links; missing CTA
comparisons/synthesia-vs-heygen,Synthesia vs HeyGen,True,1,,,1,True,broken links; missing CTA
comparisons/synthesia-vs-runway,Synthesia vs Runway,True,2,,,1,True,broken links; missing CTA
comparisons/windsurf-vs-copilot,Windsurf vs GitHub Copilot: Which Tool Should You Choose in 2026?,True,3,,,1,False,broken links
constant-contact-review-2026,"Constant Contact Review 2026: Email Marketing, Automation, Pricing and Alternatives",True,0,,,1,True,missing affiliate links; broken links; missing CTA
contact,Contact,True,0,,,1,True,missing affiliate links; broken links; missing CTA
convertkit-review-2026,ConvertKit Review 2026,True,0,,,3,True,missing affiliate links; broken links; missing CTA
copy-ai,Copy.ai Review,True,2,,,1,False,broken links
cursor,Cursor Review,True,1,,,1,False,broken links
cursor-ai-review-a-practical-guide-for-developers-and-ai-coders,Cursor Ai Review: A Practical Guide for Developers And Ai Coders,True,1,,,1,False,broken links
cursor-alternatives,Best Cursor Alternatives 2026: Top AI Coding Tools Compared,True,1,,,5,True,broken links; missing CTA
cursor-pricing,Pricing Cursor: những điểm cần kiểm tra trước khi mua,True,1,,,1,True,broken links; missing CTA
descript,Descript Review,True,1,,,1,False,broken links
disclosure,Disclosure,True,0,,,1,False,missing affiliate links; broken links
downloads/ai-coding-workflow-checklist,AI Coding Workflow Checklist,True,0,,,1,True,missing affiliate links; broken links; missing CTA
durable,Durable Review,True,1,,,1,False,broken links
elevenlabs,ElevenLabs Review,True,1,,,1,False,broken links
elevenlabs-pricing,Pricing ElevenLabs: những điểm cần kiểm tra trước khi mua,True,1,,,1,True,broken links; missing CTA
email-capture-setup,Email Capture Setup,True,0,,,1,True,missing affiliate links; broken links; missing CTA
email-marketing-alternatives,Best Email Marketing Alternatives for 2026,True,2,,,1,False,broken links
email-marketing-software-review,Email Marketing Software Review: Research-Style Review for 2026,True,2,,,1,False,broken links
facebook-test,Facebook Browser Test,True,0,,,1,True,missing affiliate links; broken links; missing CTA
fathom-analytics-review-2026,"Fathom Analytics Review 2026: Features, Pricing, Pros, Cons & Alternatives",True,0,,,2,True,missing affiliate links; broken links; missing CTA
formspree-setup,Formspree Setup for the AI Coding Checklist,True,0,,,1,True,missing affiliate links; broken links; missing CTA
framer,Framer Review,True,1,,,1,False,broken links
frase,Frase Review,True,1,,,1,False,broken links
free-ai-coding-workflow-checklist,My AI Coding Workflow: Windsurf → Codex → Cursor → GitHub Pages,True,3,,,1,True,broken links; missing CTA
gamma,Gamma Review,True,1,,,1,False,broken links
gemini,Gemini Review,True,1,,,1,False,broken links
getresponse-review-2026,GetResponse Review 2026,True,0,,,3,True,missing affiliate links; broken links; missing CTA
github-copilot,GitHub Copilot Review,True,2,,,1,False,broken links
github-copilot-pricing,Pricing GitHub Copilot: những điểm cần kiểm tra trước khi mua,True,2,,,1,True,broken links; missing CTA
grammarly-review-2026,Grammarly Review 2026,True,1,,,3,True,broken links; missing CTA
hidden-ai-infrastructure-companies-2026,8 AI Infrastructure Companies Quietly Powering the AI Boom in 2026,True,0,,,1,True,missing affiliate links; broken links; missing CTA
hostinger-website-builder-review-2026,Hostinger Website Builder Review 2026,True,0,,,1,True,missing affiliate links; broken links; missing CTA
how-we-review-tools,How We Review Tools,True,0,,,1,True,missing affiliate links; broken links; missing CTA
hub/ai-automation,AI Automation Tools Hub,True,2,,,1,False,broken links
hub/ai-coding,AI Coding Tools Hub,True,3,,,1,False,broken links
hub/ai-presentation,AI Presentation Tools Hub,True,2,,,1,False,broken links
hub/ai-seo,AI SEO Tools Hub,True,5,,,2,False,broken links
hub/ai-video,AI Video Tools Hub,True,3,,,1,False,broken links
hub/ai-voice,AI Voice Tools Hub,True,1,,,1,False,broken links
hub/ai-writing,AI Writing Tools Hub,True,7,,,1,False,broken links
hub/crm,CRM Tools Hub,True,3,,,1,False,broken links
hub/email-marketing,Email Marketing Tools Hub,True,4,,,1,False,broken links
hub/marketing,AI Marketing Tools Hub,True,8,,,1,False,broken links
hub/productivity,AI Productivity Tools Hub,True,4,,,2,False,broken links
hub/website-builders,Website Builders Hub,True,6,,,1,False,broken links
hubs,Hubs,True,0,,,1,True,missing affiliate links; broken links; missing CTA
hubspot,HubSpot Review,True,1,,,1,False,broken links
hubspot-review-2026,"HubSpot Review 2026: CRM, Marketing Hub, Pricing, Pros and Cons",True,1,,,1,True,broken links; missing CTA
jasper,Jasper Review,True,2,,,1,False,broken links
jasper-ai,Jasper AI Review,True,3,,,1,False,broken links
jasper-ai-review-2026,"Jasper AI Review 2026: AI Writing, Brand Voice, Pricing and Alternatives",True,2,,,1,True,broken links; missing CTA
jasper-pricing,Pricing Jasper: những điểm cần kiểm tra trước khi mua,True,2,,,1,True,broken links; missing CTA
keysearch-review-2026,"KeySearch Review 2026: Features, Pricing, Pros, Cons & Alternatives",True,0,,,3,True,missing affiliate links; broken links; missing CTA
kilocode-review-2026,Kilo Code Review 2026,True,2,,,13,True,broken links; missing CTA
leadpages-review-2026,"Leadpages Review 2026: Landing Pages, Lead Capture, Pricing and Alternatives",True,0,,,1,True,missing affiliate links; broken links; missing CTA
link-whisper-review-2026,"Link Whisper Review 2026: Features, Pricing, Pros, Cons & Alternatives",True,0,,,3,True,missing affiliate links; broken links; missing CTA
lovable,Lovable Review,True,1,,,1,False,broken links
lowfruits-review-2026,"LowFruits Review 2026: Features, Pricing, Pros, Cons & Alternatives",True,0,,,3,True,missing affiliate links; broken links; missing CTA
mailerlite-review-2026,MailerLite Review 2026,True,0,,,3,True,missing affiliate links; broken links; missing CTA
make,Make Review,True,1,,,1,False,broken links
make-pricing,Pricing Make: những điểm cần kiểm tra trước khi mua,True,1,,,1,True,broken links; missing CTA
mangools-review-2026,Mangools Review 2026,True,0,,,3,True,missing affiliate links; broken links; missing CTA
marketing-alternatives,Best Marketing Alternatives for 2026,True,2,,,1,False,broken links
media-kit,Media Kit,True,0,,,1,True,missing affiliate links; broken links; missing CTA
midjourney,Midjourney Review,True,1,,,1,False,broken links
moz-review-2026,"Moz Review 2026: SEO Features, Pricing, Pros, Cons and Alternatives",True,0,,,2,True,missing affiliate links; broken links; missing CTA
neuronwriter-review-2026,"NeuronWriter Review 2026: Features, Pricing, Pros, Cons & Alternatives",True,0,,,3,True,missing affiliate links; broken links; missing CTA
notion,Notion Review,True,1,,,1,False,broken links
notion-ai,Notion AI Review,True,3,,,1,False,broken links
perplexity,Perplexity Review,True,1,,,1,False,broken links
pipedrive,Pipedrive Review,True,2,,,1,False,broken links
pipedrive-crm,Pipedrive CRM Review,True,3,,,1,False,broken links
plausible-analytics-review-2026,"Plausible Analytics Review 2026: Features, Pricing, Pros, Cons & Alternatives",True,0,,,2,True,missing affiliate links; broken links; missing CTA
pricing,Pricing Guides,True,1,,,1,False,broken links
pricing/activecampaign,ActiveCampaign Pricing Guide,True,1,,,1,False,broken links
pricing/canva,Canva Pricing Guide,True,1,,,1,False,broken links
pricing/cursor,Cursor Pricing Guide,True,1,,,1,False,broken links
pricing/github-copilot,GitHub Copilot Pricing Guide,True,2,,,1,False,broken links
pricing/grammarly,Grammarly Pricing Guide,True,1,,,2,False,broken links
pricing/mailchimp,Mailchimp Pricing Guide,True,1,,,2,False,broken links
pricing/make,Make Pricing Guide,True,1,,,1,False,broken links
pricing/pictory,Pictory Pricing Guide,True,1,,,2,False,broken links
pricing/semrush,Semrush Pricing Guide,True,1,,,1,False,broken links
pricing/surfer-seo,Surfer SEO Pricing 2026,True,1,,,1,True,broken links; missing CTA
pricing/zapier,Zapier Pricing Guide,True,1,,,1,False,broken links
privacy,Privacy Policy,True,0,,,1,True,missing affiliate links; broken links; missing CTA
privacy-policy,Privacy Policy,True,0,,,1,True,missing affiliate links; broken links; missing CTA
reclaim-ai,Reclaim AI Review,True,2,,,1,False,broken links
replit,Replit Review,True,1,,,1,False,broken links
review/activecampaign,ActiveCampaign Review for Email Marketing Buyers,True,1,,,1,False,broken links
review/adcreative-ai,AdCreative AI Review for Marketing Buyers,True,2,,,1,False,broken links
review/adcreative-ai-review-2026,AdCreative.ai Review 2026,True,0,,,1,True,missing affiliate links; broken links; missing CTA
review/ahrefs-ai,Ahrefs AI Review for AI SEO Buyers,True,3,,,1,False,broken links
review/bolt,Bolt Review for AI App Builder Buyers,True,1,,,1,False,broken links
review/canva,Canva Review for AI Design Buyers,True,1,,,1,False,broken links
review/chatgpt,ChatGPT Review for AI Assistant Buyers,True,1,,,1,False,broken links
review/claude,Claude Review for AI Assistant Buyers,True,1,,,1,False,broken links
review/copy-ai,Copy.ai Review for AI Writing Buyers,True,2,,,1,False,broken links
review/cursor,Cursor Review for AI Coding Buyers,True,1,,,1,False,broken links
review/descript,Descript Review for AI Video Buyers,True,1,,,1,False,broken links
review/durable,Durable Review for Website Builder Buyers,True,1,,,1,False,broken links
review/durable-ai-review-2026,Durable AI Website Builder Review 2026,True,1,,,1,True,broken links; missing CTA
review/elevenlabs,ElevenLabs Review for AI Voice Buyers,True,1,,,1,False,broken links
review/framer,Framer Review for Website Builder Buyers,True,1,,,1,False,broken links
review/frase,Frase Review for AI SEO Buyers,True,1,,,1,False,broken links
review/gamma,Gamma Review for AI Productivity Buyers,True,1,,,1,False,broken links
review/gemini,Gemini Review for AI Assistant Buyers,True,1,,,1,False,broken links
review/github-copilot,GitHub Copilot Review for AI Coding Buyers,True,2,,,1,False,broken links
review/hubspot,HubSpot Review for CRM Buyers,True,1,,,1,False,broken links
review/jasper,Jasper Review for AI Writing Buyers,True,1,,,1,False,broken links
review/jasper-ai,Jasper AI Review for AI Writing Buyers,True,3,,,1,False,broken links
review/lovable,Lovable Review for AI App Builder Buyers,True,1,,,1,False,broken links
review/make,Make Review for Automation Buyers,True,1,,,1,False,broken links
review/midjourney,Midjourney Review for AI Image Buyers,True,1,,,1,False,broken links
review/notion,Notion Review for Productivity Buyers,True,1,,,1,False,broken links
review/notion-ai,Notion AI Review for AI Productivity Buyers,True,3,,,1,False,broken links
review/perplexity,Perplexity Review for AI Search Buyers,True,1,,,1,False,broken links
review/pipedrive,Pipedrive Review for CRM Buyers,True,1,,,1,False,broken links
review/pipedrive-crm,Pipedrive CRM Review for CRM Buyers,True,3,,,1,False,broken links
review/reclaim-ai,Reclaim AI Review for AI Meeting Buyers,True,2,,,1,False,broken links
review/replit,Replit Review for Cloud Development Buyers,True,1,,,1,False,broken links
review/runway,Runway Review for AI Video Buyers,True,1,,,1,False,broken links
review/semrush,Semrush Review for AI SEO Buyers,True,1,,,1,False,broken links
review/semrush-ai,Semrush AI Review for AI SEO Buyers,True,3,,,1,False,broken links
review/surfer-seo,Surfer SEO Review for AI SEO Buyers,True,2,,,1,False,broken links
review/surfer-seo-review-2026,"Surfer SEO Review 2026: Pricing, Pros, Cons & Best Alternatives",True,1,,,1,True,broken links; missing CTA
review/synthesia,Synthesia Review for AI Video Buyers,True,1,,,1,False,broken links
review/webflow,Webflow Review for Website Builder Buyers,True,1,,,1,False,broken links
review/webflow-ai,Webflow AI Review for Website Builder Buyers,True,3,,,1,False,broken links
review/windsurf,Windsurf Review for AI Coding Buyers,True,1,,,1,False,broken links
review/windsurf-review-2026,Windsurf Review 2026,True,1,,,1,True,broken links; missing CTA
review/zapier,Zapier Review for Automation Buyers,True,1,,,1,False,broken links
reviews,Latest Reviews,True,0,,,1,False,missing affiliate links; broken links
reviews/activecampaign,ActiveCampaign Review,True,1,,,1,False,broken links
reviews/adcreative-ai,AdCreative AI Review,True,2,,,1,False,broken links
reviews/ahrefs-ai,Ahrefs AI Review,True,2,,,2,False,broken links
reviews/bolt,Bolt Review,True,1,,,1,False,broken links
reviews/canva,Canva Review,True,1,,,1,False,broken links
reviews/chatgpt,ChatGPT Review,True,1,,,1,False,broken links
reviews/claude,Claude Review,True,1,,,1,False,broken links
reviews/copy-ai,Copy.ai Review,True,2,,,1,False,broken links
reviews/cursor,Cursor Review,True,1,,,1,False,broken links
reviews/cursor-ai-review-a-practical-guide-for-developers-and-ai-coders,Cursor Ai Review: A Practical Guide for Developers And Ai Coders,True,1,,,1,False,broken links
reviews/descript,Descript Review,True,1,,,1,False,broken links
reviews/durable,Durable Review,True,1,,,1,False,broken links
reviews/elevenlabs,ElevenLabs Review,True,1,,,1,False,broken links
reviews/framer,Framer Review,True,1,,,1,False,broken links
