topic,slug,velocity,acceleration,growth_rate,decay_rate,stability_score,volatility_score,days_since_first_seen,days_since_last_growth,peak_rank,average_rank,trend_lifetime,trend_confidence,momentum_grade,momentum_recommendation
"The 'SaaSpocalypse' is over, says private equity giant Thoma Bravo. Here's why it sees an AI boom for software",the-saaspocalypse-is-over-says-private-equity-giant-thoma-bravo-here-s-why-it-sees-an-ai-boom-for-software,0.0,0.0,0.0,0,100.0,0.0,12,12,30,30.8,12,89.8,C,Watch
Gradial Lands $65M Series C for Agentic Marketing Platform,gradial-lands-65m-series-c-for-agentic-marketing-platform,0.0,0.0,0.0,0,100.0,0.0,0,0,23,23.0,0,89.8,C,Watch
Ask HN: What tools are you using for AI-assisted code review?,ask-hn-what-tools-are-you-using-for-ai-assisted-code-review,0.0,0.0,0.0,0,100.0,0.0,12,12,32,32.0,12,89.5,C,Watch
LTX-2 Review 2026,ltx-2-review-2026,0.03,0.0,0.3,0,99.8,0.2,12,0,30,32.0,12,89.4,C,Watch
awesome-artificial-intelligence Review 2026,awesome-artificial-intelligence-review-2026,0.04,-0.01,0.4,0,99.7,0.3,12,0,32,33.8,12,89.2,C,Watch
Software Buyout King Orlando Bravo Attempts an AI-Era Reboot,software-buyout-king-orlando-bravo-attempts-an-ai-era-reboot,0.0,0.0,0.0,0,100.0,0.0,12,12,34,34.0,12,89.3,C,Watch
AI is hitting employment among young software developers hard,ai-is-hitting-employment-among-young-software-developers-hard,0.0,0.0,0.0,0,100.0,0.0,12,12,31,32.7,12,89.3,C,Watch
best productivity software,best-productivity-software,0.0,0.0,0.0,0,100.0,0.0,12,12,24,33.8,12,89.2,C,Watch
"CMO Vision: AI Is Rewiring How Marketing Is Understood, Shaped And Scaled",cmo-vision-ai-is-rewiring-how-marketing-is-understood-shaped-and-scaled,0.0,0.0,0.0,0,100.0,0.0,0,0,25,25.0,0,88.9,C,Watch
Do you think most people are using AI more as a tool or as a replacement for thinking?,do-you-think-most-people-are-using-ai-more-as-a-tool-or-as-a-replacement-for-thinking,0.0,0.0,0.0,0,100.0,0.0,12,12,34,35.9,12,88.8,C,Watch
Meet Michael Truell: The 25-year-old CEO who sold his AI coding startup to SpaceX for $60 Bn,meet-michael-truell-the-25-year-old-ceo-who-sold-his-ai-coding-startup-to-spacex-for-60-bn,0.0,0.0,0.0,0,100.0,0.0,12,12,35,37.3,12,88.8,C,Watch
best productivity tools,best-productivity-tools,0.0,0.0,0.0,0,100.0,0.0,12,12,26,36.3,12,88.6,C,Watch
ai video software comparison,ai-video-software-comparison,9.45,-6.05,32.5,0,81.1,18.9,12,0,1,2.0,12,79.1,A,Act this week
ai writing software comparison,ai-writing-software-comparison,9.45,-6.05,32.5,0,81.1,18.9,12,0,2,3.0,12,79.1,A,Act this week
The best AI coding tool isn't the one that writes the most code,the-best-ai-coding-tool-isn-t-the-one-that-writes-the-most-code,0.0,0.0,0.0,0,100.0,0.0,0,0,27,27.0,0,88.5,C,Watch
Best AI Coding Agents and Development Platforms for Developers in 2026,best-ai-coding-agents-and-development-platforms-for-developers-in-2026,2.44,-0.24,53.5,0,73.2,26.8,12,0,1,27.0,12,75.1,A,Act this week
Z.ai pitches GLM-5.2 for long-running software engineering tasks,z-ai-pitches-glm-5-2-for-long-running-software-engineering-tasks,0.0,0.0,0.0,0,100.0,0.0,12,12,39,41.7,12,88.4,C,Watch
"Microsoft rebuilding software stack from scratch for AI agents, says Jay Parikh",microsoft-rebuilding-software-stack-from-scratch-for-ai-agents-says-jay-parikh,0.0,0.0,0.0,0,100.0,0.0,12,12,37,39.9,12,88.4,C,Watch
Solving The AI Productivity Paradox In Software Development,solving-the-ai-productivity-paradox-in-software-development,0.0,0.0,0.0,0,100.0,0.0,12,12,38,40.8,12,88.4,C,Watch
10 tips for getting better R code from your AI coding agent,10-tips-for-getting-better-r-code-from-your-ai-coding-agent,1.14,-0.11,19.6,0,87.5,12.5,12,0,1,28.8,12,81.9,A,Act this week
Ornith-1.0: self-improving open-source models for agentic coding,ornith-1-0-self-improving-open-source-models-for-agentic-coding,0.0,0.0,0.0,0,100.0,0.0,0,0,28,28.0,0,88.1,C,Watch
OpenMontage Review 2026,openmontage-review-2026,5.2,-4.1,15.8,0,89.6,10.4,12,0,1,1.7,12,82.9,A,Act this week
[OC] I mapped AI exposure and robotics risk for Japan's 70.5M workers and found two different automation waves,oc-i-mapped-ai-exposure-and-robotics-risk-for-japan-s-70-5m-workers-and-found-two-different-automation-waves,0.0,0.0,0.0,0,100.0,0.0,11,11,43,43.0,11,88.0,C,Watch
Forget AI software: the real opportunity is energy,forget-ai-software-the-real-opportunity-is-energy,0.0,0.0,0.0,0,100.0,0.0,12,12,41,43.9,12,88.0,C,Watch
Newgen Software positions itself as intelligent AI orchestrator for enterprises,newgen-software-positions-itself-as-intelligent-ai-orchestrator-for-enterprises,0.0,0.0,0.0,0,100.0,0.0,12,12,42,44.9,12,88.0,C,Watch
Volkswagen Group’s e.solutions picks HCLTech for AI-powered vehicle software,volkswagen-group-s-e-solutions-picks-hcltech-for-ai-powered-vehicle-software,0.0,0.0,0.0,0,100.0,0.0,12,12,43,45.8,12,88.0,C,Watch
FPT Software tiên phong ứng dụng AI với Microsoft 365 Copilot để nâng cao tương tác khách hàng và mở rộng tệp khách hàng tiềm năng,fpt-software-ti-n-phong-ng-d-ng-ai-v-i-microsoft-365-copilot-n-ng-cao-t-ng-t-c-kh-ch-h-ng-v-m-r-ng-t-p-kh-ch-h-ng-ti-m-n-ng,0.0,0.0,0.0,0,100.0,0.0,11,11,39,39.0,11,88.0,C,Watch
I signed up for another SaaS,i-signed-up-for-another-saas,1.49,-0.14,30.9,0,82.1,17.9,12,0,3,31.8,12,79.0,A,Act this week
Import AI 442: Winners and losers in the AI economy; math proof automation; and industrialization of cyber espionage,import-ai-442-winners-and-losers-in-the-ai-economy-math-proof-automation-and-industrialization-of-cyber-espionage,0.0,0.0,0.0,0,100.0,0.0,12,12,41,46.9,12,87.8,C,Watch
Open AI delayed GPT-5.6 after a U.S. government review request. Is AI regulation becoming the new normal?,open-ai-delayed-gpt-5-6-after-a-u-s-government-review-request-is-ai-regulation-becoming-the-new-normal,0.0,0.0,0.0,0,100.0,0.0,0,0,30,30.0,0,87.8,C,Watch
Ornith-1.0: Self-scaffolding LLMs for agentic coding,ornith-1-0-self-scaffolding-llms-for-agentic-coding,0.0,0.0,0.0,0,100.0,0.0,0,0,31,31.0,0,87.5,C,Watch
ai search software comparison,ai-search-software-comparison,9.3,-5.9,33.2,0,81.4,18.6,12,0,4,5.0,12,78.0,A,Act this week
ai voice software comparison,ai-voice-software-comparison,9.3,-5.9,33.2,0,81.4,18.6,12,0,5,6.0,12,78.0,A,Act this week
"OpenAI to acquire Ona to support its AI coding assistant, Codex",openai-to-acquire-ona-to-support-its-ai-coding-assistant-codex,0.0,0.0,0.0,0,100.0,0.0,11,11,42,42.0,11,87.2,C,Watch
Tidal AI Policy,tidal-ai-policy,0.0,0.0,0.0,0,100.0,0.0,0,0,32,32.0,0,87.2,C,Watch
Search Marketing’s Insight Gap: When Automation Replaces Understanding,search-marketing-s-insight-gap-when-automation-replaces-understanding,0.0,0.0,0.0,0,100.0,0.0,12,12,34,47.3,12,87.2,C,Watch
"Impartner Redefines Partner Marketing Automation with Full Automation, AdTech and AI to Drive Measurable Revenue",impartner-redefines-partner-marketing-automation-with-full-automation-adtech-and-ai-to-drive-measurable-revenue,0.0,0.0,0.0,0,100.0,0.0,0,0,33,33.0,0,87.2,C,Watch
Import AI 452: Scaling laws for cyberwar; rising tides of AI automation; and a puzzle over gDP forecasting,import-ai-452-scaling-laws-for-cyberwar-rising-tides-of-ai-automation-and-a-puzzle-over-gdp-forecasting,0.0,0.0,0.0,0,100.0,0.0,12,12,43,48.0,12,87.2,C,Watch
The founder's playbook: Building an AI-native startup,the-founder-s-playbook-building-an-ai-native-startup,0.0,0.0,0.0,0,100.0,0.0,12,12,47,47.5,12,87.1,C,Watch
12 Best AI for Coding Tools in 2026 (Vibecoding & Data Science),12-best-ai-for-coding-tools-in-2026-vibecoding-data-science,0.0,0.0,0.0,0,100.0,0.0,0,0,35,35.0,0,87.0,C,Watch
superpowers Review 2026,superpowers-review-2026,5.5,-4.6,17.5,0,89.0,11.0,12,0,2,4.0,12,81.3,A,Act this week
AI-powered vibe coding is gaining ground in Nepal,ai-powered-vibe-coding-is-gaining-ground-in-nepal,0.0,0.0,0.0,0,100.0,0.0,0,0,36,36.0,0,86.6,C,Watch
Working With AI: A concrete example,working-with-ai-a-concrete-example,0.0,0.0,0.0,0,100.0,0.0,0,0,37,37.0,0,86.5,C,Watch
Is AI ruining our skills? Early results are in — and they’re not good,is-ai-ruining-our-skills-early-results-are-in-and-they-re-not-good,0.0,0.0,0.0,0,100.0,0.0,12,12,52,52.0,12,86.5,C,Watch
Is SaaS dead?,is-saas-dead,0.0,0.0,0.0,0,100.0,0.0,12,12,38,49.1,12,86.2,C,Watch
AI Compute Extensions (ACE) Specification,ai-compute-extensions-ace-specification,0.1,0.1,0.1,0,99.9,0.1,12,0,49,49.5,12,86.1,C,Watch
The Future of Matrix Marketing: How AI and Environment Isolation are Replacing Legacy RPA,the-future-of-matrix-marketing-how-ai-and-environment-isolation-are-replacing-legacy-rpa,0.0,0.0,0.0,0,100.0,0.0,0,0,39,39.0,0,86.0,C,Watch
Q1 2026 Marketing & Media Retail Report: AI And DOOH Reprice Attention In Canada,q1-2026-marketing-media-retail-report-ai-and-dooh-reprice-attention-in-canada,0.0,0.0,0.0,0,100.0,0.0,12,12,50,50.5,12,86.0,C,Watch
Amazon investigating engineers who criticized AI data center expansion,amazon-investigating-engineers-who-criticized-ai-data-center-expansion,0.27,0.1,1.6,0,98.9,1.1,12,0,46,53.2,12,85.3,C,Watch
Generative AI Is Having Its Herbalife Moment,generative-ai-is-having-its-herbalife-moment,0.0,0.0,0.0,0,100.0,0.0,11,11,52,52.0,11,85.8,C,Watch
Calibrating 2-bit GGUFs (<10Gb) for agentic coding tasks,calibrating-2-bit-ggufs-10gb-for-agentic-coding-tasks,0.0,0.0,0.0,0,100.0,0.0,12,12,54,54.0,12,85.6,C,Watch
Why Won't Europe Build AI Data Centers in Iceland?,why-won-t-europe-build-ai-data-centers-in-iceland,0.0,0.0,0.0,0,100.0,0.0,0,0,40,40.0,0,85.6,C,Watch
"Agentic Marketing: What It Is, What It Isn't And Why It Matters Now",agentic-marketing-what-it-is-what-it-isn-t-and-why-it-matters-now,0.0,0.0,0.0,0,100.0,0.0,12,12,47,52.5,12,85.5,C,Watch
India's AI dream runs on a stack it does not control,india-s-ai-dream-runs-on-a-stack-it-does-not-control,0.0,0.0,0.0,0,100.0,0.0,12,12,52,52.0,12,85.3,C,Watch
"Most AI Models Would Run Your Company Into the Ground, Princeton’s CEO-Bench Finds",most-ai-models-would-run-your-company-into-the-ground-princeton-s-ceo-bench-finds,0.0,0.0,0.0,0,100.0,0.0,0,0,41,41.0,0,85.0,C,Watch
"When An AI Agent Goes Rogue, Who Takes The Blame?",when-an-ai-agent-goes-rogue-who-takes-the-blame,0.0,0.0,0.0,0,100.0,0.0,0,0,42,42.0,0,85.0,C,Watch
Filum.ai,filum-ai,0.0,0.0,0.0,0,100.0,0.0,0,0,43,43.0,0,85.0,C,Watch
How AI Is Rewriting The Rules Of Marketing,how-ai-is-rewriting-the-rules-of-marketing,0.0,0.0,0.0,0,100.0,0.0,12,12,48,54.1,12,85.0,C,Watch
My suitcase robot gets high now off a real gas sensor wired straight into the LLM sampler,my-suitcase-robot-gets-high-now-off-a-real-gas-sensor-wired-straight-into-the-llm-sampler,0.0,0.0,0.0,0,100.0,0.0,12,12,49,53.5,12,84.8,C,Watch
I built an OpenAI compatible firewall for AI agents. Try to break it.,i-built-an-openai-compatible-firewall-for-ai-agents-try-to-break-it,0.0,0.0,0.0,0,100.0,0.0,12,12,54,54.5,12,84.8,C,Watch
/r/productivity is being hit hard by AI generated slop + advertising spam. Please hit REPORT on this content!,r-productivity-is-being-hit-hard-by-ai-generated-slop-advertising-spam-please-hit-report-on-this-content,0.0,0.0,0.0,0,100.0,0.0,12,12,54,54.0,12,84.8,C,Watch
Agent Mode by Receiptor AI,agent-mode-by-receiptor-ai,0.0,0.0,0.0,0,100.0,0.0,0,0,44,44.0,0,84.8,C,Watch
Import AI 447: The AGI economy; testing AIs with generated games; and agent ecologies,import-ai-447-the-agi-economy-testing-ais-with-generated-games-and-agent-ecologies,0.0,0.0,0.0,0,100.0,0.0,12,12,45,55.7,12,84.7,C,Watch
The first big exit in AI,the-first-big-exit-in-ai,0.0,0.0,0.0,0,100.0,0.0,12,12,46,56.7,12,84.7,C,Watch
AI can build better than humans,ai-can-build-better-than-humans,0.0,0.0,0.0,0,100.0,0.0,12,12,57,57.0,12,84.7,C,Watch
"Import AI 443: Into the mist: Moltbook, agent ecologies, and the internet in transition",import-ai-443-into-the-mist-moltbook-agent-ecologies-and-the-internet-in-transition,0.0,0.0,0.0,0,100.0,0.0,12,12,50,56.0,12,84.7,C,Watch
Are we using AI correctly in the business world?,are-we-using-ai-correctly-in-the-business-world,0.0,0.0,0.0,0,100.0,0.0,11,11,58,58.0,11,84.6,C,Watch
Agentic Resource Discovery Specification,agentic-resource-discovery-specification,0.22,0.1,1.6,0,98.9,1.1,12,0,59,66.8,12,83.9,C,Watch
"Marketing needs AI outcomes, not more AI pilots",marketing-needs-ai-outcomes-not-more-ai-pilots,0.0,0.0,0.0,0,100.0,0.0,12,12,58,60.4,12,84.4,C,Watch
"AI made me more productive, but somehow more tired",ai-made-me-more-productive-but-somehow-more-tired,0.0,0.0,0.0,0,100.0,0.0,12,12,54,60.9,12,84.3,C,Watch
Got Chinese AI to say Taiwan,got-chinese-ai-to-say-taiwan,0.0,0.0,0.0,0,100.0,0.0,12,12,57,63.6,12,84.3,C,Watch
I made a FAQ Chatbot that runs completely in browser; Local AI in Two Clicks,i-made-a-faq-chatbot-that-runs-completely-in-browser-local-ai-in-two-clicks,0.0,0.0,0.0,0,100.0,0.0,12,12,63,63.0,12,84.3,C,Watch
Your company is probably spending more on coffee than AI,your-company-is-probably-spending-more-on-coffee-than-ai,0.0,0.0,0.0,0,100.0,0.0,12,12,65,65.0,12,84.3,C,Watch
AI-generated social media has evolved so much that now you can't confidently say that this is AI-generated content,ai-generated-social-media-has-evolved-so-much-that-now-you-can-t-confidently-say-that-this-is-ai-generated-content,0.0,0.0,0.0,0,100.0,0.0,11,11,62,62.0,11,84.3,C,Watch
Published an edge-ai driver drowsiness detection system with Arduino Uno Q for our high school research,published-an-edge-ai-driver-drowsiness-detection-system-with-arduino-uno-q-for-our-high-school-research,0.0,0.0,0.0,0,100.0,0.0,11,11,66,66.0,11,84.3,C,Watch
Why did Google AI forget? Explain this phenomenon please,why-did-google-ai-forget-explain-this-phenomenon-please,0.0,0.0,0.0,0,100.0,0.0,11,11,67,67.0,11,84.3,C,Watch
AI Companies Will Become Profitable Eventually. Here's why.,ai-companies-will-become-profitable-eventually-here-s-why,0.0,0.0,0.0,0,100.0,0.0,0,0,47,47.0,0,84.3,C,Watch
Ford rehires veteran engineers after AI fails to meet quality standards,ford-rehires-veteran-engineers-after-ai-fails-to-meet-quality-standards,0.0,0.0,0.0,0,100.0,0.0,0,0,48,48.0,0,84.3,C,Watch
"Has AI changed the way you think, not just the way you work?",has-ai-changed-the-way-you-think-not-just-the-way-you-work,0.0,0.0,0.0,0,100.0,0.0,0,0,49,49.0,0,84.3,C,Watch
"My AI Predictions, Two Years Later: The Ones That Landed",my-ai-predictions-two-years-later-the-ones-that-landed,0.0,0.0,0.0,0,100.0,0.0,0,0,50,50.0,0,84.3,C,Watch
Palantir and Nvidia Expand Sovereign AI Partnership for US Government,palantir-and-nvidia-expand-sovereign-ai-partnership-for-us-government,0.0,0.0,0.0,0,100.0,0.0,0,0,51,51.0,0,84.3,C,Watch
What AI capability do you think is still surprisingly underdeveloped?,what-ai-capability-do-you-think-is-still-surprisingly-underdeveloped,0.0,0.0,0.0,0,100.0,0.0,0,0,52,52.0,0,84.3,C,Watch
What if AI's failures reveal our vices more than its limits?,what-if-ai-s-failures-reveal-our-vices-more-than-its-limits,0.0,0.0,0.0,0,100.0,0.0,0,0,53,53.0,0,84.3,C,Watch
Working on my first fully featured Ai companion with Vision for games and movies n all that!,working-on-my-first-fully-featured-ai-companion-with-vision-for-games-and-movies-n-all-that,0.0,0.0,0.0,0,100.0,0.0,0,0,54,54.0,0,84.3,C,Watch
"Only 16 percent of Americans think AI will have a positive impact on society, a new study shows",only-16-percent-of-americans-think-ai-will-have-a-positive-impact-on-society-a-new-study-shows,0.0,0.0,0.0,0,100.0,0.0,12,12,59,65.5,12,84.3,C,Watch
"AI support vendor quoted 40% deflection, called 8% normal after 8 months",ai-support-vendor-quoted-40-deflection-called-8-normal-after-8-months,0.0,0.0,0.0,0,100.0,0.0,12,12,55,62.0,12,84.3,C,Watch
Most companies' AI problem is not the model,most-companies-ai-problem-is-not-the-model,0.0,0.0,0.0,0,100.0,0.0,12,12,58,65.0,12,84.3,C,Watch
AI datasets by their very nature are backward-looking. Creativity by its very nature is forward-looking.,ai-datasets-by-their-very-nature-are-backward-looking-creativity-by-its-very-nature-is-forward-looking,0.0,0.0,0.0,0,100.0,0.0,12,12,53,59.9,12,84.3,C,Watch
Copilot vulnerability could expose emails and 2FA codes,copilot-vulnerability-could-expose-emails-and-2fa-codes,0.0,0.0,0.0,0,100.0,0.0,12,12,56,62.6,12,84.3,C,Watch
"AI Agents Promise Marketing Autonomy, But Leaders Warn Of A Reality Gap",ai-agents-promise-marketing-autonomy-but-leaders-warn-of-a-reality-gap,0.0,0.0,0.0,0,100.0,0.0,12,12,60,66.4,12,84.2,C,Watch
Trellis AI (YC W24) hiring a product lead to build agents for healthcare access,trellis-ai-yc-w24-hiring-a-product-lead-to-build-agents-for-healthcare-access,0.0,0.0,0.0,0,100.0,0.0,12,12,66,68.7,12,84.1,C,Watch
Zen and the Art of Machine Learning Research,zen-and-the-art-of-machine-learning-research,0.0,0.0,0.0,0,100.0,0.0,11,11,69,69.0,11,83.9,C,Watch
"Cutting LLM Token Costs with rtk, headroom, and caveman",cutting-llm-token-costs-with-rtk-headroom-and-caveman,0.0,0.0,0.0,0,100.0,0.0,12,12,64,69.0,12,83.8,C,Watch
AI-powered branding: The next big shift in marketing strategy,ai-powered-branding-the-next-big-shift-in-marketing-strategy,0.0,0.0,0.0,0,100.0,0.0,12,12,62,67.8,12,83.8,C,Watch
AI Is Automating Marketing Execution But Raising The Value Of Judgment,ai-is-automating-marketing-execution-but-raising-the-value-of-judgment,0.0,0.0,0.0,0,100.0,0.0,0,0,55,55.0,0,83.8,C,Watch
"The marketing job AI can't touch, and why the pay is up",the-marketing-job-ai-can-t-touch-and-why-the-pay-is-up,0.0,0.0,0.0,0,100.0,0.0,12,12,66,71.6,12,83.8,C,Watch
Everyone’s Using AI for Email Marketing — Here’s Why Most Are Getting It Wrong,everyone-s-using-ai-for-email-marketing-here-s-why-most-are-getting-it-wrong,0.0,0.0,0.0,0,100.0,0.0,12,12,65,71.5,12,83.8,C,Watch
"BankBound Partners with BOND.AI to Power Smarter, More Personalized Marketing for Banks and Credit Unions",bankbound-partners-with-bond-ai-to-power-smarter-more-personalized-marketing-for-banks-and-credit-unions,0.0,0.0,0.0,0,100.0,0.0,12,12,63,69.6,12,83.8,C,Watch
Tyto by ai-coustics,tyto-by-ai-coustics,0.0,0.0,0.0,0,100.0,0.0,12,12,71,75.0,12,83.6,C,Watch
Mutter AI Dictation,mutter-ai-dictation,0.0,0.0,0.0,0,100.0,0.0,11,11,74,74.0,11,83.6,C,Watch
AI Slide Editor by CubeOne,ai-slide-editor-by-cubeone,0.0,0.0,0.0,0,100.0,0.0,0,0,56,56.0,0,83.6,C,Watch
Tough Tongue AI for Sales,tough-tongue-ai-for-sales,0.0,0.0,0.0,0,100.0,0.0,0,0,57,57.0,0,83.6,C,Watch
AI‑Native eCommerce Infrastructure,ai-native-ecommerce-infrastructure,0.0,0.0,0.0,0,100.0,0.0,12,12,67,72.6,12,83.6,C,Watch
"Hey Siri, meet AI",hey-siri-meet-ai,0.0,0.0,0.0,0,100.0,0.0,12,12,58,73.9,12,83.5,C,Watch
Import AI 445: Timing superintelligence; AIs solve frontier math proofs; a new ML research benchmark,import-ai-445-timing-superintelligence-ais-solve-frontier-math-proofs-a-new-ml-research-benchmark,0.0,0.0,0.0,0,100.0,0.0,12,12,59,74.9,12,83.5,C,Watch
Import AI 446: Nuclear LLMs; China's big AI benchmark; measurement and AI policy,import-ai-446-nuclear-llms-china-s-big-ai-benchmark-measurement-and-ai-policy,0.0,0.0,0.0,0,100.0,0.0,12,12,60,75.9,12,83.5,C,Watch
Import AI 450: China's electronic warfare model; traumatized LLMs; and a scaling law for cyberattacks,import-ai-450-china-s-electronic-warfare-model-traumatized-llms-and-a-scaling-law-for-cyberattacks,0.0,0.0,0.0,0,100.0,0.0,12,12,61,76.9,12,83.5,C,Watch
"Import AI 451: Political superintelligence; Google's society of minds, and a robot drummer",import-ai-451-political-superintelligence-google-s-society-of-minds-and-a-robot-drummer,0.0,0.0,0.0,0,100.0,0.0,12,12,62,77.9,12,83.5,C,Watch
Import AI 454: Automating alignment research; safety study of a Chinese model; HiFloat4,import-ai-454-automating-alignment-research-safety-study-of-a-chinese-model-hifloat4,0.0,0.0,0.0,0,100.0,0.0,12,12,63,78.9,12,83.5,C,Watch
Import AI 456: RSI and economic growth; radical optionality for AI regulation; and a neural computer,import-ai-456-rsi-and-economic-growth-radical-optionality-for-ai-regulation-and-a-neural-computer,0.0,0.0,0.0,0,100.0,0.0,12,12,64,79.9,12,83.5,C,Watch
Import AI 457: AI stuxnet; cursed Muon optimizer; and positive alignment,import-ai-457-ai-stuxnet-cursed-muon-optimizer-and-positive-alignment,0.0,0.0,0.0,0,100.0,0.0,12,12,65,80.9,12,83.5,C,Watch
